matrix,n,rho,omega,gs_status,fixed_status,adaptive_status,gs_iters,fixed_iters,adaptive_iters
cage5,37,1.0548039478413347,1.0,solved,solved,solved,18,20,18
tub100,100,1.0030378507096886,1.0,solved,solved,solved,9811,5878,9811
rand_014_n17,17,13.176911608371029,1.0,did_not_converge,did_not_converge,did_not_converge,5,4,5
gre_115,115,16.350300008094464,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
olm100,100,4.134251240886417,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_015_n18,18,6.316437519853939,1.0,did_not_converge,did_not_converge,did_not_converge,6,5,6
bfwa62,62,1.1083919063688519,1.0,did_not_converge,did_not_converge,did_not_converge,167,108,167
rand_016_n19,19,26.709456977822615,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
bcsstk03,112,1.8869885909336759,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
pivtol,102,1.2433865307212266,1.0,did_not_converge,did_not_converge,did_not_converge,20,16,20
rand_017_n20,20,20.793297794300937,1.0,did_not_converge,did_not_converge,did_not_converge,4,4,4
bcsstm06,420,0.0,1.0,solved,solved,solved,2,15,2
rand_018_n21,21,10.492102508150628,1.0,did_not_converge,did_not_converge,did_not_converge,5,4,5
bcsstk22,138,1.490164739598137,1.0,solved,solved,solved,6887,4634,6887
steam3,80,0.2775644894292447,1.0200402162980786,solved,did_not_converge,solved,14,114,24
rand_019_n22,22,22.18414281818387,1.0,did_not_converge,did_not_converge,did_not_converge,4,4,4
mesh3e1,289,0.7892941718603148,1.2391456754319878,solved,solved,solved,26,25,25
bcsstm20,485,0.0,1.0,solved,solved,solved,2,15,2
rand_020_n23,23,17.049282961561566,1.0,did_not_converge,did_not_converge,did_not_converge,4,3,4
odepa400,400,1.070879623064597,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_021_n24,24,25.245798821888986,1.0,did_not_converge,did_not_converge,did_not_converge,4,3,4
rand_022_n25,25,77.38946053894065,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
mesh3em5,289,0.6607368662703533,1.1424539492665025,solved,solved,solved,22,21,18
rdb200l,200,1.3276211219066771,1.0,did_not_converge,did_not_converge,did_not_converge,56,38,56
rand_023_n26,26,21.542909528596613,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rdb200,200,1.9757413917604176,1.0,did_not_converge,did_not_converge,did_not_converge,19,14,19
rand_024_n27,27,60.623792042171424,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
bcsstm08,1074,0.0,1.0,solved,solved,solved,2,15,2
saylr1,238,1.0126554500995522,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_025_n28,28,43.682192426472845,1.0,did_not_converge,did_not_converge,did_not_converge,3,2,3
bwm200,200,0.9983699546706579,1.8920152518790627,solved,solved,solved,2604,1561,917
494_bus,494,0.9556786087188648,1.5451031633304841,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
cage6,93,1.0215090243270029,1.0,solved,solved,solved,15,19,15
bcsstm19,817,0.0,1.0,solved,solved,solved,2,15,2
rand_026_n30,30,47.479179955998816,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
lop163,163,24307751.521963853,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_027_n31,31,27.396600091507274,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
lund_a,147,1.1064010267506816,1.0,did_not_converge,solved,did_not_converge,10000,8089,10000
rand_028_n32,32,79.62764693079424,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
mesh2e1,306,0.9572297792983707,1.5511947092900118,solved,solved,solved,382,242,120
lund_b,147,1.8374379023718244,1.0,solved,solved,solved,298,187,298
mesh2em5,306,1.0534348622125453,1.0,solved,solved,solved,426,269,426
pde225,225,0.9876167564647974,1.7287791634397482,solved,did_not_converge,did_not_converge,765,64,25
fs_183_6,183,0.765285267168664,1.2167735074124981,solved,did_not_converge,solved,35,1319,303
fs_183_1,183,0.8479711419280831,1.307153320796305,solved,did_not_converge,did_not_converge,53,297,140
fs_183_4,183,0.7733696052022718,1.224023615086263,solved,solved,solved,35,117,85
fs_183_3,183,1.5605589430712703,1.0,solved,solved,solved,138,128,138
ck104,104,1.388553610492019,1.0,solved,solved,solved,1156,575,1156
rand_029_n34,34,9.026681304379458,1.0,did_not_converge,did_not_converge,did_not_converge,4,3,4
nos6,675,1.002202288741404,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_030_n35,35,38.26944161523529,1.0,did_not_converge,did_not_converge,did_not_converge,3,2,3
mhdb416,416,1.332561107364788,1.0,solved,solved,solved,68,43,68
662_bus,662,1.0114142686040624,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bfwb398,398,1.0501505885821825,1.0,solved,solved,solved,18,20,18
bcsstm09,1083,1.5004104601929408e-16,1.0,solved,solved,solved,2,15,2
bcsstk05,153,2.014927180405607,1.0,solved,solved,solved,8693,5278,8693
rand_031_n36,36,114.49958321352553,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
arc130,130,0.19035767804696796,1.0092269568673509,solved,solved,solved,7,19,7
rand_033_n38,38,11.326674504448325,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rand_032_n38,38,50.444122141040715,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
bcsstm11,1473,0.0,1.0,solved,solved,solved,2,15,2
olm500,500,3.198652681687009,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
685_bus,685,0.9890995482646959,1.743301664628519,did_not_converge,did_not_converge,solved,10000,10000,3681
sherman1,1000,0.9950555587777853,1.8193067091033237,did_not_converge,solved,solved,10000,8730,1658
saylr3,1000,0.9956131314654757,1.8288800268696193,did_not_converge,solved,solved,10000,8731,1568
rdb450l,450,11.752718680125266,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
nos7,729,1.0056627465010237,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_034_n40,40,24.94978907457294,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rdb450,450,1.1884483434220265,1.0,did_not_converge,did_not_converge,did_not_converge,80,53,80
rand_035_n41,41,37.601363553695215,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
bcsstk04,132,1.4765641169777355,1.0,solved,solved,solved,2333,1603,2333
rand_036_n43,43,69.78803452146417,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
nos2,957,0.9932111249018121,1.791591875692128,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstk20,485,2.498186486695417,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
nos5,468,1.020808718942947,1.0,solved,solved,solved,4340,2656,4340
cz148,148,0.9972891090528682,1.8629209995967744,solved,solved,did_not_converge,3787,2265,989
rand_037_n45,45,15.837055488708524,1.0,did_not_converge,did_not_converge,did_not_converge,3,2,3
1138_bus,1138,1.0037042815184232,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstk02,66,1.4798585491311753,1.0,solved,solved,solved,4767,2919,4767
rand_038_n47,47,40.099047435151974,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
bcsstm26,1922,0.0,1.0,solved,solved,solved,2,15,2
mcca,180,5.578007753834045,1.0,did_not_converge,did_not_converge,did_not_converge,9,8,9
rand_039_n48,48,50.73521048773836,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
young3c,841,2.4187452758881327,1.0,did_not_converge,did_not_converge,did_not_converge,19,16,19
rand_040_n49,49,35.10507984997213,1.0,did_not_converge,did_not_converge,did_not_converge,3,2,3
steam1,240,0.06546672069450409,1.001073775156943,did_not_converge,did_not_converge,did_not_converge,242,38,234
fs_680_1,680,0.9774654601670788,1.6513975492260415,solved,solved,solved,196,101,46
rand_041_n51,51,284.5446392041309,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_042_n51,51,30.894297740604483,1.0,did_not_converge,did_not_converge,did_not_converge,3,2,3
fs_680_2,680,1.0109083187315726,1.0,solved,solved,solved,359,183,359
ck400,400,1.3843376910192482,1.0,did_not_converge,solved,did_not_converge,10000,6378,10000
fs_680_3,680,1.0531667895814723,1.0,solved,solved,solved,533,272,533
bfwa398,398,1.1727626636545692,1.0,did_not_converge,did_not_converge,did_not_converge,1069,653,1069
dw256A,512,2.686910615762284,1.0,did_not_converge,did_not_converge,did_not_converge,15,12,15
dwa512,512,2.686910615762284,1.0,did_not_converge,did_not_converge,did_not_converge,15,12,15
rand_043_n53,53,122.2009542971297,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
dw256B,512,0.2925906235900665,1.0223705940505603,solved,solved,solved,9,17,10
dwb512,512,0.2925906235900665,1.0223705940505603,solved,solved,solved,9,17,10
poisson2D,367,0.9773671167982668,1.6507775539229488,solved,solved,solved,592,358,118
rdb800l,800,2.382367946063189,1.0,did_not_converge,did_not_converge,did_not_converge,9,6,9
Chebyshev1,261,55.23504583872528,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
sherman4,1104,1.002267023050242,1.0,solved,solved,solved,4202,2530,4202
rand_044_n55,55,62.39522030770745,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
olm1000,1000,3.186413505744083,1.0,diverged,diverged,diverged,2,2,2
bfwb782,782,1.0476563656371891,1.0,solved,solved,solved,18,20,18
rand_045_n57,57,26.234337323182764,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
pores_3,532,0.9932212157686092,1.791730213000931,did_not_converge,did_not_converge,did_not_converge,10000,10000,47
problem1,415,0.9943793530177857,1.808521221399985,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
cdde4,961,1.023494791252177,1.0,solved,did_not_converge,solved,108,54,108
cdde3,961,1.0040202626924148,1.0,did_not_converge,did_not_converge,did_not_converge,1020,621,1020
bcsstm23,3134,1.576213700060856e-16,1.0,solved,solved,solved,2,15,2
tub1000,1000,0.9975124653751228,1.8683027888177433,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
cdde6,961,1.068735070636698,1.0,solved,did_not_converge,solved,119,51,119
cdde2,961,1.0109087756194644,1.0,solved,did_not_converge,solved,107,56,107
rdb968,968,1.8339632354104778,1.0,did_not_converge,did_not_converge,did_not_converge,16,10,16
cdde1,961,0.9916737272436643,1.7718309670052823,did_not_converge,did_not_converge,did_not_converge,10000,6529,1468
cdde5,961,1.048399733482251,1.0,did_not_converge,did_not_converge,did_not_converge,247,155,247
cage7,340,0.9813065895381545,1.6772178008898921,solved,solved,solved,15,18,54
rand_046_n60,60,37.211498079155376,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
gre_1107,1107,4756873.415993047,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
utm300,300,28.287231427880222,1.0,did_not_converge,did_not_converge,did_not_converge,8,6,8
Chem97ZtZ,2541,0.22578947892932077,1.0130808394228437,solved,solved,solved,31,15,30
rand_047_n62,62,35.52630765773481,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
plat362,362,2.8744922552699497,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
cz308,308,0.9939057088715677,1.8014227261491733,did_not_converge,solved,solved,10000,9656,1765
bcsstm24,3562,0.0,1.0,solved,solved,solved,2,15,2
bcsstm07,420,1.433648098009099,1.0,solved,solved,solved,81,39,81
bcsstk19,817,2.2331133483298387,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
orsirr_2,886,0.9635963558670292,1.5780819607218493,did_not_converge,did_not_converge,solved,10000,10000,6525
rand_048_n65,65,163.55354217831595,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
bcsstk06,420,1.8903452545938026,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstk07,420,1.8903452545938026,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
hor_131,434,5.734201019580527,1.0,solved,solved,solved,3641,2249,3641
bcsstm21,3600,0.0,1.0,solved,solved,solved,2,15,2
pde900,900,0.9779671690353187,1.6545898821182095,solved,solved,did_not_converge,246,361,60
fs_541_3,541,1.9769297058444344,1.0,solved,solved,solved,2473,1210,2473
fs_541_4,541,1.9428324517996844,1.0,solved,solved,solved,901,543,901
poli,4008,0.9652111979931493,1.585450013096463,solved,solved,did_not_converge,216,173,73
ck656,656,1.3841871660058829,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_049_n68,68,24.12713050923314,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
fs_541_2,541,1.8872434492842556,1.0,solved,solved,solved,430,271,430
rdb1250l,1250,1.475419230795416,1.0,did_not_converge,did_not_converge,did_not_converge,29,18,29
orsirr_1,1030,0.9663510854661596,1.5908029843109657,did_not_converge,did_not_converge,solved,10000,10000,6732
rdb1250,1250,1.0420538063083575,1.0,did_not_converge,did_not_converge,did_not_converge,431,266,431
fs_541_1,541,0.09735924130604222,1.0023810034550111,solved,solved,solved,6,18,6
rand_050_n71,71,66.05824454063567,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_051_n74,74,57.42569351436102,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_052_n76,76,21.329485884389644,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_053_n77,77,28.573882254071663,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
t2dal_e,4257,0.0,1.0,solved,solved,solved,2,15,2
bfwa782,782,1.2063453760103877,1.0,did_not_converge,did_not_converge,did_not_converge,1699,1029,1699
rand_054_n80,80,45.720177956655824,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
fs_760_1,760,1.5223825985228618e-06,1.0000000000005795,solved,solved,solved,3,18,3
fs_760_2,760,1.4888222595332876,1.0,solved,did_not_converge,solved,1023,68,1023
olm2000,2000,3.4389842096180128,1.0,diverged,diverged,diverged,2,2,2
fs_760_3,760,1.6442821290557272,1.0,did_not_converge,did_not_converge,did_not_converge,10000,68,10000
rand_056_n83,83,31.129745627671632,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_055_n83,83,81.5502752449833,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rail_1357,1357,1.0023188202234758,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstk08,1074,1.8360877102005773,1.0,solved,solved,solved,6454,3987,6454
nos3,960,1.6275701530000541,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_057_n87,87,23.076460417424883,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
cz628,628,0.9966554516543344,1.8489098863510802,did_not_converge,did_not_converge,solved,10000,10000,5974
Pd,8081,0.2791885845352427,1.0202851612000519,solved,did_not_converge,solved,36,44,51
rand_058_n90,90,75.74331953044589,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rdb2048,2048,1.187121189874097,1.0,did_not_converge,did_not_converge,did_not_converge,73,45,73
steam2,600,0.0160190815545883,1.0000641609759326,solved,did_not_converge,solved,2341,44,2519
rdb2048_noL,2048,1.0240803331292443,1.0,did_not_converge,did_not_converge,did_not_converge,881,533,881
bwm2000,2000,0.9961433658563934,1.8386738446573432,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
filter2D,1668,0.9876766842765093,1.7293437889509322,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
pores_2,1224,13.688272729425403,1.0,did_not_converge,did_not_converge,did_not_converge,7,6,7
c-18,2169,8.154416972985967,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rand_059_n94,94,38.89428524426214,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
lung1,1650,7.426537008408879,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_060_n98,98,108.33102098014635,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_061_n98,98,96.08121468878812,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
epb0,1794,0.9126965907582303,1.4198112944216787,did_not_converge,did_not_converge,did_not_converge,10000,4,2
bcsstk09,1083,0.9688843375905586,1.6031885245169573,did_not_converge,did_not_converge,solved,10000,10000,6883
watt_1,1856,0.9871994679821959,1.7248955895815599,solved,solved,solved,6,15,59
bcsstk34,588,2.8272094322198162,1.0,solved,solved,solved,493,479,493
saylr4,3564,0.9863970560110894,1.7176520279239125,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
watt_2,1856,3.3352374340737225,1.0,did_not_converge,did_not_converge,did_not_converge,17,15,17
orsreg_1,2205,0.9807948422758029,1.6735810037150296,did_not_converge,did_not_converge,solved,10000,10000,5176
rand_062_n102,102,48.72098531530869,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
Si2,769,1.3233110204157958,1.0,did_not_converge,did_not_converge,did_not_converge,547,333,547
bcsstm12,1473,3.271036066548368,1.0,solved,solved,solved,1650,1139,1650
rand_063_n107,107,135.25078464113054,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
dw1024,2048,10.21268264723825,1.0,did_not_converge,did_not_converge,did_not_converge,4,3,4
dw2048,2048,10.21268264723825,1.0,did_not_converge,did_not_converge,did_not_converge,4,3,4
bcsstk10,1086,2.7525904677381736,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstm10,1086,3.646967802191439,1.0,did_not_converge,did_not_converge,did_not_converge,10,5,10
spiral,1434,18.842476297757248,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstk21,3600,0.992899930932871,1.7873857696205937,did_not_converge,did_not_converge,solved,10000,10000,3083
c-20,2921,388.70942184272667,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
bcsstm34,588,99.03625463244113,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_064_n111,111,62.638262631759076,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
mhd3200b,3200,1.336913108605231,1.0,solved,solved,solved,48,31,48
cage8,1015,0.9657332465029587,1.5878854552353217,solved,solved,solved,14,18,40
c-19,2327,679.2201139806174,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rand_065_n113,113,112.53488569795812,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rdb3200l,3200,1.0891173316156544,1.0,did_not_converge,did_not_converge,did_not_converge,150,92,150
rand_066_n116,116,92.24458350547819,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
pde2961,2961,0.9880138070529767,1.732553464899955,solved,solved,did_not_converge,777,473,147
ex33,1733,2.9278884543315615,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
DK01R,903,138.55917106116007,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_067_n121,121,75.22450122641493,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
cryg2500,2500,48.3141355348282,1.0,did_not_converge,did_not_converge,did_not_converge,7,7,7
cz1268,1268,0.9945585938488245,1.8113010002485317,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
msc01050,1050,4.0504984306248115,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_068_n126,126,381.49996113676116,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
wang1,2903,0.9952388131362828,1.8223792060783308,solved,solved,solved,2865,1724,264
wang2,2903,0.9923170802140313,1.779801684630892,solved,solved,solved,5615,3371,695
c-22,3792,1816.783504101038,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
olm5000,5000,3.5568396101819855,1.0,diverged,diverged,diverged,2,2,2
rand_069_n131,131,203.15521989800988,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
bcsstk26,1922,3.757540987259454,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
c-23,3969,1148.8356665661584,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
sherman3,5005,0.9594694470083921,1.5602903987364012,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
c-28,4598,13.958166124424018,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
c-27,4563,2541.7451246560217,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
add20,2395,0.8733375075119197,1.344885369715283,did_not_converge,solved,solved,10000,8675,7146
sherman5,3312,2.3352950051383496,1.0,did_not_converge,did_not_converge,did_not_converge,28,19,28
bcsstk11,1473,2.7507477898968027,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstk12,1473,2.7507477898968027,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
msc00726,726,2.5498259294355945,1.0,solved,solved,solved,2511,1515,2511
c-21,3509,1573.3428925268574,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
mhd4800b,4800,1.3373641993281515,1.0,solved,solved,solved,46,30,46
swang2,3169,0.6316284515212305,1.1265884064805554,solved,solved,solved,30,95,39
plbuckle,1282,2.2920721757155653,1.0,did_not_converge,solved,did_not_converge,10000,6854,10000
rand_070_n137,137,96.91943125979309,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
swang1,3169,0.5398349066854802,1.08591138213373,solved,solved,solved,18,32,17
sherman2,1080,184.8453227059688,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
LeGresley_2508,2508,1.0278671230459564,1.0,did_not_converge,did_not_converge,did_not_converge,144,96,144
c-26,4307,21803.19711727326,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
c-24,4119,1602.4542931776004,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
rand_071_n143,143,62.59807629955338,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
cell2,7055,0.9962254026688686,1.8402581015434527,solved,did_not_converge,did_not_converge,1145,10000,29
rdb5000,5000,1.0441248371657705,1.0,did_not_converge,did_not_converge,did_not_converge,303,184,303
mcfe,765,33.75147134510019,1.0,did_not_converge,did_not_converge,did_not_converge,7,6,7
plat1919,1919,2.9011557154415595,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
shermanACa,3432,804.6727763056829,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_072_n149,149,77.54301400086942,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
nasa1824,1824,28811.608764407498,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
rand_073_n155,155,96.22937056574493,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
Chebyshev2,2053,55.23504584467396,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
dendrimer,730,1.2619235803292999,1.0,did_not_converge,did_not_converge,did_not_converge,936,646,936
c-29,5033,70.20792967362553,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
cell1,7055,0.9962252553283729,1.8402552382742754,solved,did_not_converge,did_not_converge,1147,10000,29
msc01440,1440,2.613217647467917,1.0,solved,solved,solved,8884,6023,8884
bcsstk23,3134,3.9261078920943095,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
utm1700b,1700,1.3298096688888714,1.0,did_not_converge,did_not_converge,did_not_converge,5,2,5
rand_074_n161,161,41.3549341942284,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
add32,4960,0.9051478100734367,1.4034132616027337,solved,solved,solved,379,230,162
rail_5177,5177,0.993871425150014,1.8009220179944514,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
t2dal_a,4257,1.9829386344637465,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
t2dal,4257,1.9829386344637465,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
t2dal_bci,4257,1.9829386344638,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_075_n168,168,322.055775591592,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
c-25,3797,725.4730895546843,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
fv3,9801,0.9892410255106422,1.7447517438635554,did_not_converge,solved,solved,10000,6197,1500
ex29,2870,1.127852933336886,1.0,solved,solved,solved,18,22,18
c-32,5975,234772.98355814506,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
bcsstk27,1224,3.315906168763584,1.0,solved,solved,solved,2828,1690,2828
rand_076_n175,175,107.04043932245325,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
bcsstm27,1224,5.092453535481772,1.0,did_not_converge,did_not_converge,did_not_converge,24,18,24
cz2548,2548,0.9956909197052622,1.8302716151297773,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
fv1,9604,0.8445576661647014,1.3025373473431434,solved,solved,solved,63,38,34
fv2,9801,0.8454931059477578,1.3037925776361354,solved,solved,solved,63,38,34
c-33,6317,816.3202541111305,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
tomography,500,0.9671470230304275,1.5946195065490956,solved,solved,solved,24,17,39
ACTIVSg2000,4000,1.164300928719914,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
rand_077_n183,183,137.65604556638283,1.0,did_not_converge,did_not_converge,did_not_converge,2,2,2
ex10,2410,4.017752866393377,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
bcsstk14,1806,2.3301553503943078,1.0,solved,solved,solved,5621,3815,5621
ex10hs,2548,4.084338580612013,1.0,did_not_converge,did_not_converge,did_not_converge,10000,10000,10000
c-30,5321,565.3274525462925,1.0,did_not_converge,did_not_converge,did_not_converge,3,3,3
