domain,matrix,n,nnz,strict_diag_dominant,weak_diag_dominant,l_matrix,symmetric,spd,h_matrix,m_matrix,property_a_proxy,rho_jacobi,rho_gauss_seidel,rho_comparison,hypothesis_class,jacobi_converges_predicted,gs_converges_predicted,jacobi_verdict,gs_verdict,jacobi_iterations_needed,gs_iterations_needed,optimal_omega,rho_jacobi_method,rho_gs_method,status,seconds
computational_fluid_dynamics_problem,pores_1,30.0,180.0,False,False,False,False,False,False,False,False,3.8565656424914865,7.495542534606293,4.348209605339577,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.00967273999998497
electromagnetics_problem,bfwb62,62.0,342.0,False,False,False,True,False,False,False,False,1.0084967549489572,0.3496088000369223,1.0418021547252496,none,False,True,diverges,converges,inf,17.52780616855354,,exact_eig,exact_eig,analysed,0.012826711000002433
structural_problem,bcsstm22,138.0,138.0,True,True,True,True,True,True,True,False,0.0,0.0,0.0,m_matrix,True,True,converges,converges,1.0,1.0,1.0,exact_eig,exact_eig,analysed,0.01614873300002273
random_matrices,rand_011_n14,14.0,196.0,False,False,False,False,False,False,False,False,40.25617216977588,194504.77376295044,61.589434140594875,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.00911557299997412
chemical_process_simulation_problem,west0067,67.0,294.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.006980022999982793
chemical_process_simulation_problem,impcol_b,59.0,312.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.01741075800003955
chemical_process_simulation_problem,impcol_c,137.0,411.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.007483997000008458
chemical_process_simulation_problem,d_dyn,87.0,238.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.007416991000013695
structural_problem,bcsstk01,48.0,400.0,False,False,False,True,True,False,False,False,1.101452214030456,0.9969136171041649,1.1321383704206913,spd,False,True,diverges,converges,inf,5959.1567483711315,,exact_eig,exact_eig,analysed,0.06752035799996747
random_matrices,rand_012_n15,15.0,225.0,False,False,False,False,False,False,False,False,20.386359874892996,5604.474557543432,37.994479136279416,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.00829986500002633
chemical_process_simulation_problem,west0156,156.0,371.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.008451102000037736
random_matrices,rand_013_n16,16.0,256.0,False,False,False,False,False,False,False,False,209.65187817563628,1216081.4306472708,264.66412849257244,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.008827333999988696
structural_problem,nos4,100.0,594.0,False,False,False,True,True,False,False,False,1.0267323267309854,0.9959289622571137,1.1986672249055343,spd,False,True,diverges,converges,inf,4515.5954743594175,,exact_eig,exact_eig,analysed,0.03939270699999042
directed_weighted_graph,cage5,37.0,233.0,False,False,False,False,False,False,False,False,1.0548039478172566,0.33884164648739173,1.0548039478172548,none,False,True,diverges,converges,inf,17.021160105196195,,exact_eig,exact_eig,analysed,0.014946055000052638
computational_fluid_dynamics_problem,tub100,100.0,396.0,False,False,False,False,False,False,False,True,0.9991478439318396,0.998296414033642,1.002989722238556,property_a_proxy,True,True,too_slow,too_slow,21607.34596548379,10803.672982730563,1.9207230777254016,exact_eig,exact_eig,analysed,0.04462756700002046
random_matrices,rand_014_n17,17.0,289.0,False,False,False,False,False,False,False,False,13.176911243588975,2202.5492053312687,29.42049745677234,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.011591748000000734
chemical_process_simulation_problem,west0132,132.0,414.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.007818459000020539
directed_weighted_graph,gre_115,115.0,421.0,False,False,False,False,False,False,False,False,100810.78068459396,1.0325909895324847e+20,100810.78068459396,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.029683508000005077
computational_fluid_dynamics_problem,olm100,100.0,396.0,False,False,False,False,False,False,False,False,4.443364889216184,99.33691515112409,5.024928450245505,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.031360946000006606
random_matrices,rand_015_n18,18.0,324.0,False,False,False,False,False,False,False,False,6.31643741524824,673.1977750943968,18.193125483280287,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.011112704999959533
2d_3d_problem,odepb400,400.0,399.0,,,,,,,,,,,,,,,,,,,,,,structurally_singular,0.005432122000001982
chemical_process_simulation_problem,impcol_a,207.0,572.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.011600353000005725
electromagnetics_problem,bfwa62,62.0,450.0,False,False,False,False,False,False,False,False,1.10244656762765,1.1848713092573633,1.2837044647751485,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.016058924000049046
statistical_mathematical_problem,rw136,136.0,479.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.007619693999970423
chemical_process_simulation_problem,west0167,167.0,507.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.012561854000011863
random_matrices,rand_016_n19,19.0,361.0,False,False,False,False,False,False,False,False,26.70945697770559,132326212.37280288,55.502861381848874,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.013739124999972319
structural_problem,bcsstk03,112.0,640.0,False,False,False,True,True,False,False,False,1.8955429095637155,0.9996063472875184,1.9322494933483585,spd,False,True,diverges,too_slow,inf,46785.032203785726,,exact_eig,exact_eig,analysed,1.065838547999988
statistical_mathematical_problem,pivtol,102.0,306.0,False,False,False,False,False,False,False,False,2.2185611817325337,4.300210075548824,2.2940356056183613,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.05189839199999824
random_matrices,rand_017_n20,20.0,400.0,False,False,False,False,False,False,False,False,22.806304069559243,100620.77778410936,46.345683002666625,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.01004824199998211
structural_problem,bcsstm06,420.0,420.0,True,True,True,True,True,True,True,False,0.0,0.0,0.0,m_matrix,True,True,converges,converges,1.0,1.0,1.0,exact_eig,exact_eig,analysed,0.26879411900000605
random_matrices,rand_018_n21,21.0,441.0,False,False,False,False,False,False,False,False,10.3915998376519,5611.635886069312,33.00219996010841,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.01572801999998319
structural_problem,bcsstk22,138.0,696.0,False,False,False,True,True,False,False,False,1.4930753643360315,0.998661386402736,1.6382396456866264,spd,False,True,diverges,too_slow,inf,13751.8018211012,,exact_eig,exact_eig,analysed,0.16195797000000312
computational_fluid_dynamics_problem,lns_131,131.0,536.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.01823930199998358
computational_fluid_dynamics_problem,lnsp_131,131.0,536.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.009915696999996726
directed_weighted_graph,gre_216a,216.0,876.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.010050005999971745
computational_fluid_dynamics_problem,steam3,80.0,928.0,False,False,False,False,False,True,False,True,0.7326302031075925,0.5367470055261574,0.8451567276994244,h_matrix,True,True,converges,converges,59.208742684992316,29.604370546557558,1.1900321199054291,exact_eig,exact_eig,analysed,0.01573624100001325
random_matrices,rand_019_n22,22.0,484.0,False,False,False,False,False,False,False,False,23.170339565172632,74152.73916947085,40.56073349773436,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.013862431000006836
structural_problem,mesh3e1,289.0,1889.0,True,True,False,True,True,True,False,False,0.790884780970424,0.626395292471936,0.7908847809704251,spd,True,True,converges,converges,78.51852693943509,39.37947501293684,1.240721663681406,exact_eig,exact_eig,analysed,0.18361226600001146
structural_problem,rotor1,100.0,708.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.0089526010000327
circuit_simulation_problem,rajat11,135.0,812.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.01203942899996946
structural_problem,bcsstm20,485.0,485.0,True,True,True,True,True,True,True,False,0.0,0.0,0.0,m_matrix,True,True,converges,converges,1.0,1.0,1.0,exact_eig,exact_eig,analysed,1.3701474470000221
random_matrices,rand_020_n23,23.0,529.0,False,False,False,False,False,False,False,False,16.96646606205189,456228.1432516249,45.86691674560855,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.01550170299998399
2d_3d_problem,odepa400,400.0,1201.0,False,False,False,False,False,False,False,False,1.0717838846954235,1.0001135818120914,1.071783884695427,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,1.065170648999981
random_matrices,rand_021_n24,24.0,576.0,False,False,False,False,False,False,False,False,20.245696847094873,185719.66435149763,61.129103460183835,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.013184270000010656
directed_weighted_graph,gre_216b,216.0,876.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.012379565000003367
random_matrices,rand_022_n25,25.0,625.0,False,False,False,False,False,False,False,False,77.38946044166748,2868256827.675098,136.47404480294435,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.018463433000022178
directed_weighted_graph,gre_185,185.0,1005.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.010212783000042691
structural_problem,mesh3em5,289.0,1889.0,True,True,False,True,True,True,False,True,0.6596899053312241,0.4351907732799414,0.659689905331223,spd,True,True,converges,converges,44.28203724258455,22.141018748734147,1.1418536759135904,exact_eig,exact_eig,analysed,1.4818248380000227
robotics_problem,robot,120.0,870.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.010365712000009353
computational_fluid_dynamics_problem,rdb200l,200.0,1120.0,False,False,False,False,False,False,False,True,1.3451206484234255,1.8093495588150335,1.663422551744353,property_a_proxy,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.0863111369999956
chemical_process_simulation_problem,impcol_d,425.0,1339.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.010368659999983265
random_matrices,rand_023_n26,26.0,676.0,False,False,False,False,False,False,False,False,21.542909614690014,16431844.228698557,59.08472430025256,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.012284236000027704
computational_fluid_dynamics_problem,rdb200,200.0,1120.0,False,False,False,False,False,False,False,True,1.9758036866739146,3.903800208274184,2.4562219311116906,property_a_proxy,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.09755417700000635
optimal_control_problem,spaceStation_1,99.0,927.0,False,False,False,True,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.009528522999971756
random_matrices,rand_024_n27,27.0,729.0,False,False,False,False,False,False,False,False,34.043069558012306,6575745.997241858,80.53300831694652,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.01327905099998361
structural_problem,bcsstm08,1074.0,1074.0,True,True,True,True,True,True,True,False,0.0,0.0,0.0,m_matrix,True,True,converges,converges,1.0,1.0,1.0,exact_eig,exact_eig,analysed,0.18746595999999727
directed_weighted_graph,gre_343,343.0,1435.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.011101153000026898
computational_fluid_dynamics_problem,saylr1,238.0,1128.0,False,False,False,False,False,True,False,True,0.9999872766646828,0.9999745534912486,0.9999872766646828,h_matrix,True,True,too_slow,too_slow,1447777.889853901,723888.944921287,1.9899617310469448,exact_eig,exact_eig,analysed,0.14822117399995705
random_matrices,rand_025_n28,28.0,784.0,False,False,False,False,False,False,False,False,27.987685645603825,488003491455.804,71.75817861297381,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.017914370000028157
chemical_process_simulation_problem,bwm200,200.0,796.0,False,False,False,False,False,False,False,True,0.996770085387441,0.9935506031232825,1.0113330862377368,property_a_proxy,True,True,converges,converges,5693.932594789506,2846.966297392958,1.8513236468423457,exact_eig,exact_eig,analysed,0.1536710280000193
circuit_simulation_problem,rajat05,301.0,1384.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.01115677500001766
power_network_problem,494_bus,494.0,1666.0,False,False,True,True,True,True,True,True,0.9999746701965662,0.9999493410401592,0.9999746701965662,m_matrix,True,True,too_slow,too_slow,727224.2556074709,363612.16676451993,1.9858655795535112,exact_eig,exact_eig,analysed,1.998871661999999
directed_weighted_graph,cage6,93.0,785.0,False,False,False,False,False,False,False,False,1.0215090243270049,0.27133674686764786,1.0215090243270053,none,False,True,diverges,converges,inf,14.122015259419294,,exact_eig,exact_eig,analysed,0.02814581399996996
chemical_process_simulation_problem,impcol_e,225.0,1308.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.010720219000006637
structural_problem,bcsstm19,817.0,817.0,True,True,True,True,True,True,True,False,0.0,0.0,0.0,m_matrix,True,True,converges,converges,1.0,1.0,1.0,exact_eig,exact_eig,analysed,1.7961284279999745
random_matrices,rand_026_n30,30.0,900.0,False,False,False,False,False,False,False,False,47.47917995599922,3532223.0129996655,76.93557863963694,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.013525707999974657
statistical_mathematical_problem,lop163,163.0,935.0,False,False,False,False,False,False,False,True,1817361207.0397234,3.3028017568528804e+18,1817361207.0397234,property_a_proxy,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.07216107599998622
undirected_weighted_graph,breasttissue_10NN,106.0,1412.0,False,False,False,True,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.012701215999982196
random_matrices,rand_027_n31,31.0,961.0,False,False,False,False,False,False,False,False,24.277523393490295,2585363582.0979104,71.63896823687574,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.018274262999966595
structural_problem,lund_a,147.0,2449.0,False,False,False,True,True,False,False,False,1.106741304539155,0.9995895384886119,1.7288350924132385,spd,False,True,diverges,too_slow,inf,44868.76231771881,,exact_eig,exact_eig,analysed,0.2006911810000247
random_matrices,rand_028_n32,32.0,1024.0,False,False,False,False,False,False,False,False,79.18324678363228,60349004.67345583,144.81258373498727,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.013744809999991503
structural_problem,mesh2e1,306.0,2018.0,True,True,False,True,True,True,False,False,0.9841218973426656,0.9674648482023358,0.9842585132903287,spd,True,True,converges,converges,1150.8961930236885,556.9166890806972,1.6985225726100528,exact_eig,exact_eig,analysed,0.38757949600000074
structural_problem,lund_b,147.0,2441.0,False,False,False,True,True,False,False,False,1.8402923916490073,0.9604745548303022,2.231951916919978,spd,False,True,diverges,converges,inf,456.773885510535,,exact_eig,exact_eig,analysed,0.22673722000001817
structural_problem,mesh2em5,306.0,2018.0,True,True,False,True,True,True,False,True,0.984432592400135,0.9691075679345404,0.9845226245578881,spd,True,True,converges,converges,1174.0506290105293,587.0260664718577,1.7010237435558784,exact_eig,exact_eig,analysed,0.7230097710000223
eigenvalue_model_reduction_problem,M10PI_n1,528.0,1317.0,,,,,,,,,,,,,,,,,,,,,,structurally_singular,0.007224926999981562
eigenvalue_model_reduction_problem,S10PI_n1,528.0,1317.0,,,,,,,,,,,,,,,,,,,,,,structurally_singular,0.006867472999999791
2d_3d_problem,pde225,225.0,1065.0,False,False,False,False,False,False,False,True,0.9887613812916447,0.9776490691337565,1.428158987590318,property_a_proxy,True,True,converges,converges,1629.8243343434397,814.912167171546,1.7398834606906708,exact_eig,exact_eig,analysed,0.1390907759999891
circuit_simulation_problem,rajat14,180.0,1503.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.01095497000000023
2d_3d_problem,fs_183_6,183.0,1069.0,False,False,False,False,False,True,False,False,0.7652849212362818,0.6039179169998774,0.7652881781934111,h_matrix,True,True,converges,converges,68.86053834635395,36.52599681385524,1.2167732029554055,exact_eig,exact_eig,analysed,0.04104644000000235
2d_3d_problem,fs_183_1,183.0,1069.0,False,False,False,False,False,True,False,False,0.8479710992984737,0.7349950133220831,0.8480335258980587,h_matrix,True,True,converges,converges,111.70228117250852,59.82846844329801,1.3071532625316977,exact_eig,exact_eig,analysed,0.043539006000003155
2d_3d_problem,plskz362,362.0,1760.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.011759010999981001
2d_3d_problem,fs_183_4,183.0,1069.0,False,False,False,False,False,True,False,False,0.7733704817132447,0.6140684677419326,0.7737354509043634,h_matrix,True,True,converges,converges,71.67661844181147,37.77447827949981,1.2240244160931373,exact_eig,exact_eig,analysed,0.04142421199998125
2d_3d_problem,fs_183_3,183.0,1069.0,False,False,False,False,False,False,False,False,0.9238603268142016,0.8838637844862541,1.5925013369658634,none,True,True,converges,converges,232.60085743565278,149.2129189449127,1.4464141918237716,exact_eig,exact_eig,analysed,0.05476269099995079
2d_3d_problem,ck104,104.0,992.0,False,False,False,False,False,False,False,False,1.3923385457435424,0.9901165155669459,1.3938194882708768,none,False,True,diverges,converges,inf,1854.5584725086737,,exact_eig,exact_eig,analysed,0.038163521999990735
random_matrices,rand_029_n34,34.0,1156.0,False,False,False,False,False,False,False,False,10.31900380993531,863069.4878533969,37.037710640255746,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.01348197900000514
directed_weighted_graph,gre_512,512.0,2192.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.011243942000021434
eigenvalue_model_reduction_problem,M10PI_n,682.0,1633.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.01133687600002986
eigenvalue_model_reduction_problem,S10PI_n,682.0,1633.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.015170768000018597
chemical_process_simulation_problem,west0497,497.0,1727.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.013080868999963968
2d_3d_problem,nos6,675.0,3255.0,True,True,True,True,True,True,True,True,0.9999994261205333,0.9999988522413884,0.9999994261205333,m_matrix,True,True,too_slow,too_slow,32098509.402047545,16049254.596374165,1.9978596231334407,exact_eig,exact_eig,analysed,2.6522831819999624
random_matrices,rand_030_n35,35.0,1225.0,False,False,False,False,False,False,False,False,38.26944286080422,59616903924.484955,99.18055786386789,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.015800296000008984
electromagnetics_problem,mhdb416,416.0,2312.0,False,False,False,True,True,False,False,False,1.3451041956878798,0.9332019250151681,1.4862692494553895,spd,False,True,diverges,converges,inf,266.4501846684832,,exact_eig,exact_eig,analysed,1.7765833459999953
power_network_problem,662_bus,662.0,2474.0,False,False,True,True,True,True,True,True,0.9999552135987884,0.9999104292900883,0.9999552135987884,m_matrix,True,True,too_slow,too_slow,411291.54708879127,205645.9725849623,1.9812490921770198,exact_eig,exact_eig,analysed,1.4730457890000253
electromagnetics_problem,bfwb398,398.0,2910.0,False,False,False,True,False,False,False,False,1.0511779925336,0.37003235592580425,1.096479901759154,none,False,True,diverges,converges,inf,18.528799462444436,,exact_eig,exact_eig,analysed,0.35567690099998117
structural_problem,bcsstm09,1083.0,1083.0,True,True,True,True,True,True,True,False,0.0,0.0,0.0,m_matrix,True,True,converges,converges,1.0,1.0,1.0,exact_eig,exact_eig,analysed,0.16888575199999423
2d_3d_problem,nnc261,261.0,1500.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.01061337400000184
structural_problem,bcsstk05,153.0,2423.0,False,False,False,True,True,False,False,False,2.014951093675377,0.9985763301331778,2.4724989016955243,spd,False,True,diverges,too_slow,inf,12929.658466021237,,exact_eig,exact_eig,analysed,0.10938236800001278
random_matrices,rand_031_n36,36.0,1296.0,False,False,False,False,False,False,False,False,115.96705007409292,14495089345089.416,199.08424558864039,none,False,False,diverges,diverges,inf,inf,,exact_eig,exact_eig,analysed,0.01459490199999891
computational_fluid_dynamics_problem,tols90,90.0,1746.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.012005681000005097
chemical_process_simulation_problem,west0479,479.0,1910.0,False,False,False,False,False,False,False,False,,,,none,False,False,diverges,diverges,inf,inf,,not_applicable,not_applicable,analysed,0.01211691299999984
materials_problem,arc130,130.0,1282.0,False,False,False,False,False,True,False,False,0.08323538384790388,0.01592614157364009,0.11706646076170896,h_matrix,True,True,converges,converges,7.409520401367189,4.449661850998758,1.0017380582593036,exact_eig,exact_eig,analysed,0.032455034999998134
