matrix,domain,n,nnz,zero_diag,structurally_singular,ours_1_built,ours_1_usable,ours_1_sec,ours_2_built,ours_2_usable,ours_2_sec,ours_3_built,ours_3_usable,ours_3_sec,low_drop_built,low_drop_usable,low_drop_sec,no_drop_built,no_drop_usable,no_drop_sec,full_pivot_built,full_pivot_usable,full_pivot_sec,permc_mmd_built,permc_mmd_usable,permc_mmd_sec,permc_natural_built,permc_natural_usable,permc_natural_sec
oscil_dcop_50,circuit_simulation_problem,430,1544,64,False,False,False,0.0004805999997188337,False,False,0.0004288000054657459,False,False,0.00042300000495743006,True,True,0.0004059999992023222,True,True,0.0004317999992053956,False,False,0.0004199999966658652,False,False,0.0005067000020062551,False,False,0.00034700000105658546
oscil_dcop_52,circuit_simulation_problem,430,1544,64,False,False,False,0.00048629999946570024,False,False,0.0004195000001345761,False,False,0.0004117999997106381,True,True,0.0004104999970877543,True,True,0.0004228999969200231,False,False,0.00042129999928874895,False,False,0.0003951999970013276,False,False,0.0003062999967369251
oscil_dcop_53,circuit_simulation_problem,430,1544,64,False,False,False,0.0004647999958251603,False,False,0.0004134999981033616,False,False,0.00041449999844189733,True,True,0.0004093999959877692,True,True,0.00041709999641170725,False,False,0.00041870000131893903,False,False,0.00040160000207833946,False,False,0.0003068000005441718
oscil_dcop_55,circuit_simulation_problem,430,1544,64,False,False,False,0.0005061000047135167,False,False,0.00045559999853139743,False,False,0.00042689999827416614,True,True,0.00041479999345028773,True,True,0.0004152000037720427,False,False,0.00041790000250330195,False,False,0.00040520000038668513,False,False,0.00030420000257436186
oscil_dcop_48,circuit_simulation_problem,430,1544,64,False,False,False,0.0005153000020072795,False,False,0.00045369999861577526,False,False,0.00043370000639697537,True,True,0.00040950000402517617,True,True,0.00041929999861167744,False,False,0.0004157999937888235,False,False,0.0004019999978481792,False,False,0.0003082999974139966
oscil_dcop_49,circuit_simulation_problem,430,1544,64,False,False,False,0.00045729999692412093,False,False,0.0004172000044491142,False,False,0.00041199999395757914,True,True,0.00041530000453349203,True,True,0.000414699999964796,False,False,0.0004132999965804629,False,False,0.00039619999733986333,False,False,0.0003010000000358559
oscil_dcop_47,circuit_simulation_problem,430,1544,64,False,False,False,0.00045700000191573054,False,False,0.0005076999950688332,False,False,0.00046319999819388613,True,True,0.0004335000048740767,True,True,0.0004258999979356304,False,False,0.00042799999937415123,False,False,0.00040299999818671495,False,False,0.00032249999640043825
oscil_dcop_46,circuit_simulation_problem,430,1544,64,False,False,False,0.0004454000008990988,False,False,0.0004262000002199784,False,False,0.00040869999793358147,True,True,0.00040979999903356656,True,True,0.0004154999987804331,False,False,0.0004126999992877245,False,False,0.0006234999964362942,False,False,0.0004898999977740459
oscil_dcop_45,circuit_simulation_problem,430,1544,64,False,False,False,0.0005010000022593886,False,False,0.00041960000089602545,False,False,0.0004057000041939318,True,True,0.0004119000004720874,True,True,0.00041459999920334667,False,False,0.0004172999979346059,False,False,0.00039659999310970306,False,False,0.0003037999995285645
oscil_dcop_06,circuit_simulation_problem,430,1544,64,False,False,False,0.0004910999996354803,False,False,0.0004243000003043562,False,False,0.00042190000385744497,True,True,0.0004124999977648258,True,True,0.0004117999997106381,False,False,0.00042580000445013866,False,False,0.00040210000588558614,False,False,0.0003144999936921522
oscil_dcop_01,circuit_simulation_problem,430,1544,64,False,False,False,0.0005209000009926967,False,False,0.00042189999658148736,False,False,0.00041459999920334667,True,True,0.00041990000318037346,True,True,0.0004208999962429516,False,False,0.0004230999984429218,False,False,0.00041739999869605526,False,False,0.0003415000028326176
oscil_dcop_44,circuit_simulation_problem,430,1544,64,False,False,False,0.0005044999998062849,False,False,0.0004215000008116476,False,False,0.0004917999976896681,True,True,0.0005433000042103231,True,True,0.0004706999970949255,False,False,0.00044440000056056306,False,False,0.0004130000015720725,False,False,0.0003237000055378303
oscil_dcop_43,circuit_simulation_problem,430,1544,64,False,False,False,0.0004990999950678088,False,False,0.0004102000020793639,False,False,0.0004133000038564205,True,True,0.00041120000241789967,True,True,0.0004444999940460548,False,False,0.0004400000034365803,False,False,0.0005052000051364303,False,False,0.00040129999979399145
oscil_dcop_07,circuit_simulation_problem,430,1544,64,False,False,False,0.0005095000014989637,False,False,0.00042950000351993367,False,False,0.0004135999988648109,True,True,0.00040969999827211723,True,True,0.00042129999928874895,False,False,0.0005568999986280687,False,False,0.0004563000038615428,False,False,0.0003243999963160604
oscil_dcop_05,circuit_simulation_problem,430,1544,64,False,False,False,0.0004681999998865649,False,False,0.00042640000174287707,False,False,0.00041449999844189733,True,True,0.0004210999977658503,True,True,0.0004312999953981489,False,False,0.0004298999992897734,False,False,0.0004042000000481494,False,False,0.0003176000027451664
oscil_dcop_02,circuit_simulation_problem,430,1544,64,False,False,False,0.0005170999938854948,False,False,0.00042189999658148736,False,False,0.0004305000038584694,True,True,0.00041149999742629007,True,True,0.00042920000123558566,False,False,0.00042360000225016847,False,False,0.00042050000047311187,False,False,0.0003452000019024126
oscil_dcop_08,circuit_simulation_problem,430,1544,64,False,False,False,0.00046460000157821923,False,False,0.00043000000005122274,False,False,0.00043309999455232173,True,True,0.00041709999641170725,True,True,0.00041570000030333176,False,False,0.00042689999827416614,False,False,0.00040699999954085797,False,False,0.00032310000096913427
oscil_dcop_13,circuit_simulation_problem,430,1544,64,False,False,False,0.0004817000008188188,False,False,0.0004197999951429665,False,False,0.00048230000538751483,True,True,0.000432699998782482,True,True,0.00042830000165849924,False,False,0.00044129999878350645,False,False,0.00042580000445013866,False,False,0.00032669999927747995
oscil_dcop_42,circuit_simulation_problem,430,1544,64,False,False,False,0.0008545000018784776,False,False,0.00047669999912614003,False,False,0.00043230000301264226,True,True,0.00041200000123353675,True,True,0.0004191000043647364,False,False,0.0004165999998804182,False,False,0.0004058999984408729,False,False,0.0003145000009681098
oscil_dcop_12,circuit_simulation_problem,430,1544,64,False,False,False,0.0004589000018313527,False,False,0.0004135999988648109,False,False,0.0004078999991179444,True,True,0.0004275999963283539,True,True,0.00041820000478764996,False,False,0.00041480000072624534,False,False,0.0004044999950565398,False,False,0.0003312999979243614
oscil_dcop_41,circuit_simulation_problem,430,1544,64,False,False,False,0.00049080000462709,False,False,0.0004304000030970201,False,False,0.0004208000027574599,True,True,0.00041459999920334667,True,True,0.00043110000115120783,False,False,0.0004241999995429069,False,False,0.00040639999497216195,False,False,0.0003133999998681247
oscil_dcop_04,circuit_simulation_problem,430,1544,64,False,False,False,0.00047250000352505594,False,False,0.00041900000360328704,False,False,0.00041280000004917383,True,True,0.0004278999986127019,True,True,0.00041629999759607017,False,False,0.0004191000043647364,False,False,0.0003983999995398335,False,False,0.0003112999984296039
oscil_dcop_09,circuit_simulation_problem,430,1544,64,False,False,False,0.0004476999965845607,False,False,0.00041310000233352184,False,False,0.00042630000098142773,True,True,0.0004275999963283539,True,True,0.0004158000010647811,False,False,0.00041449999844189733,False,False,0.0004028000039397739,False,False,0.00031599999783793464
oscil_dcop_40,circuit_simulation_problem,430,1544,64,False,False,False,0.0005250000031082891,False,False,0.00042099999700440094,False,False,0.00041449999844189733,True,True,0.0004210999977658503,True,True,0.0005048000020906329,False,False,0.00044300000445218757,False,False,0.00040330000047106296,False,False,0.0003136000013910234
oscil_dcop_23,circuit_simulation_problem,430,1544,64,False,False,False,0.0005154000027687289,False,False,0.000410699998610653,False,False,0.0004489999992074445,True,True,0.00041849999979604036,True,True,0.0004149000014876947,False,False,0.00043089999962830916,False,False,0.0004222999996272847,False,False,0.00033149999944726005
oscil_dcop_24,circuit_simulation_problem,430,1544,64,False,False,False,0.00046329999895533547,False,False,0.00042950000351993367,False,False,0.0004198000024189241,True,True,0.00041870000131893903,True,True,0.0004560000015771948,False,False,0.00043870000081369653,False,False,0.0004011999990325421,False,False,0.00031289999606087804
oscil_dcop_28,circuit_simulation_problem,430,1544,64,False,False,False,0.00047389999963343143,False,False,0.0004248999975970946,False,False,0.00042039999971166253,False,False,0.0004124999977648258,True,True,0.00041430000419495627,False,False,0.00042969999776687473,False,False,0.00039600000309292227,False,False,0.00030930000502849
oscil_dcop_29,circuit_simulation_problem,430,1544,64,False,False,False,0.0004905000023427419,False,False,0.0004076999975950457,False,False,0.0004075999968335964,False,False,0.0004250999991199933,True,True,0.00045619999582413584,False,False,0.0004580000022542663,False,False,0.00040549999539507553,False,False,0.0003178999977535568
oscil_dcop_31,circuit_simulation_problem,430,1544,64,False,False,False,0.0005604000034509227,False,False,0.00042579999717418104,False,False,0.00041570000030333176,True,True,0.00043489999370649457,True,True,0.0004197000016574748,False,False,0.000428699997428339,False,False,0.0003969000026700087,False,False,0.0003096000000368804
oscil_dcop_30,circuit_simulation_problem,430,1544,64,False,False,False,0.0004745999976876192,False,False,0.0004210999977658503,False,False,0.0004009000040241517,False,False,0.00042560000292724,True,True,0.00041709999641170725,False,False,0.00043300000106683,False,False,0.0003932000036002137,False,False,0.0003006000042660162
oscil_dcop_26,circuit_simulation_problem,430,1544,64,False,False,False,0.0004992000031052157,False,False,0.0005066999947302975,False,False,0.000494500003696885,True,True,0.00043449999793665484,True,True,0.00045620000310009345,False,False,0.0005531999995582737,False,False,0.00047990000166464597,False,False,0.00034130000130971894
oscil_dcop_03,circuit_simulation_problem,430,1544,64,False,False,False,0.0004961000013281591,False,False,0.00044359999446896836,False,False,0.0004593999983626418,True,True,0.00041819999751169235,True,True,0.0004098999997950159,False,False,0.0004141999961575493,False,False,0.0004023000001325272,False,False,0.0003542000049492344
oscil_dcop_36,circuit_simulation_problem,430,1544,64,False,False,False,0.0005058000024291687,False,False,0.00040409999928670004,False,False,0.0004074000025866553,True,True,0.0004090999937034212,True,True,0.0004110999943804927,False,False,0.00041090000013355166,False,False,0.00039429999742424116,False,False,0.00030279999919002876
oscil_dcop_25,circuit_simulation_problem,430,1544,64,False,False,False,0.0004847999953199178,False,False,0.0004141999961575493,False,False,0.0004031999997096136,True,True,0.0004138000003877096,True,True,0.0004174000059720129,False,False,0.0004254000014043413,False,False,0.0003963000053772703,False,False,0.0003073999978369102
oscil_dcop_35,circuit_simulation_problem,430,1544,64,False,False,False,0.0004709999993792735,False,False,0.00040779999835649505,False,False,0.0004191000043647364,True,True,0.0004167000006418675,True,True,0.0004165999998804182,False,False,0.0004075999968335964,False,False,0.00039399999513989314,False,False,0.0003049000006285496
oscil_dcop_17,circuit_simulation_problem,430,1544,64,False,False,False,0.0004574000049615279,False,False,0.00041310000233352184,False,False,0.000487299999804236,True,True,0.0004445000013220124,True,True,0.0004914000019198284,False,False,0.00044329999946057796,False,False,0.000429600004281383,False,False,0.0003208999987691641
oscil_dcop_18,circuit_simulation_problem,430,1544,64,False,False,False,0.0004589000018313527,False,False,0.00041489999421173707,False,False,0.00040839999564923346,True,True,0.0004400000034365803,True,True,0.00043230000301264226,False,False,0.0004193999993731268,False,False,0.0003989000033470802,False,False,0.0003127999952994287
oscil_dcop_34,circuit_simulation_problem,430,1544,64,False,False,False,0.0004868000032729469,False,False,0.000411300003179349,False,False,0.0004084000029251911,True,True,0.0004093000025022775,True,True,0.0004169000021647662,False,False,0.0004124000042793341,False,False,0.00039629999810131267,False,False,0.0003053999971598387
oscil_dcop_37,circuit_simulation_problem,430,1544,64,False,False,False,0.00046999999904073775,False,False,0.00041090000013355166,False,False,0.0004087999986950308,True,True,0.0004149000014876947,True,True,0.00041649999911896884,False,False,0.00041760000021895394,False,False,0.0004098000063095242,False,False,0.000320099999953527
oscil_dcop_27,circuit_simulation_problem,430,1544,64,False,False,False,0.0005178999999770895,False,False,0.0004180000032647513,False,False,0.0004154999987804331,True,True,0.00042609999945852906,True,True,0.0004195000001345761,False,False,0.00041929999861167744,False,False,0.0004015000013168901,False,False,0.00032219999411609024
oscil_dcop_10,circuit_simulation_problem,430,1544,64,False,False,False,0.00047360000462504104,False,False,0.0004193999993731268,False,False,0.00041760000021895394,True,True,0.0004341000021668151,True,True,0.00045339999633142725,False,False,0.0004337999998824671,False,False,0.0004067999980179593,False,False,0.0003232000017305836
oscil_dcop_11,circuit_simulation_problem,430,1544,64,False,False,False,0.000483900003018789,False,False,0.0004234999942127615,False,False,0.0004191999978502281,True,True,0.0004129999942961149,True,True,0.00046209999709390104,False,False,0.0004360000020824373,False,False,0.0004362999970908277,False,False,0.0003225999971618876
oscil_dcop_39,circuit_simulation_problem,430,1544,64,False,False,False,0.00047569999878760427,False,False,0.00041739999869605526,False,False,0.0004093000025022775,True,True,0.0004078999991179444,True,True,0.00044329999946057796,False,False,0.00044070000149076805,False,False,0.0004008000032627024,False,False,0.0003100000030826777
oscil_dcop_33,circuit_simulation_problem,430,1544,64,False,False,False,0.00045569999929284677,False,False,0.00046180000208551064,False,False,0.00042409999878145754,True,True,0.0004237000030116178,True,True,0.00043489999370649457,False,False,0.00041700000292621553,False,False,0.0004002999994554557,False,False,0.00031370000215247273
oscil_dcop_32,circuit_simulation_problem,430,1544,64,False,False,False,0.0004936000041197985,False,False,0.00041570000030333176,False,False,0.0004182999982731417,True,True,0.00042329999996582046,True,True,0.00042100000428035855,False,False,0.00042270000267308205,False,False,0.00039449999894713983,False,False,0.0011529999974300154
oscil_dcop_22,circuit_simulation_problem,430,1544,64,False,False,False,0.00046499999734805897,False,False,0.0004155999995418824,False,False,0.00042810000013560057,True,True,0.00041730000521056354,True,True,0.00041479999345028773,False,False,0.0004490999999688938,False,False,0.00041259999852627516,False,False,0.0003242999955546111
oscil_dcop_38,circuit_simulation_problem,430,1544,64,False,False,False,0.000498399997013621,False,False,0.0004135000053793192,False,False,0.00040779999835649505,True,True,0.00041489999421173707,True,True,0.0004458999974303879,False,False,0.00042159999429713935,False,False,0.0003980999972554855,False,False,0.0003015999973285943
oscil_dcop_19,circuit_simulation_problem,430,1544,64,False,False,False,0.0004475999958231114,False,False,0.00041590000182623044,False,False,0.0004628999959095381,True,True,0.0006367999958456494,True,True,0.0004961000013281591,False,False,0.00046350000047823414,False,False,0.00041259999852627516,False,False,0.00031209999724524096
oscil_dcop_14,circuit_simulation_problem,430,1544,64,False,False,False,0.000501599999552127,False,False,0.0004341000021668151,False,False,0.0004924000022583641,True,True,0.0004971000016666949,True,True,0.00043710000318242237,False,False,0.0004324999972595833,False,False,0.00042270000267308205,False,False,0.00032359999750042334
oscil_dcop_15,circuit_simulation_problem,430,1544,64,False,False,False,0.0005476000005728565,False,False,0.0004310000003897585,False,False,0.000415000002249144,True,True,0.00041000000055646524,True,True,0.00042050000047311187,False,False,0.0004163999983575195,False,False,0.00040579999767942354,False,False,0.00031599999783793464
oscil_dcop_20,circuit_simulation_problem,430,1544,64,False,False,False,0.0004594000056385994,False,False,0.0004141000026720576,False,False,0.0004247999968356453,True,True,0.0004526000047917478,True,True,0.0004465000019990839,False,False,0.0004206000012345612,False,False,0.0004027999966638163,False,False,0.00032810000266181305
oscil_dcop_21,circuit_simulation_problem,430,1544,64,False,False,False,0.0004883999936282635,False,False,0.0004115000047022477,False,False,0.00041820000478764996,True,True,0.00042940000275848433,True,True,0.00045149999641580507,False,False,0.00044290000369073823,False,False,0.0004115999981877394,False,False,0.00033059999987017363
oscil_dcop_16,circuit_simulation_problem,430,1544,64,False,False,False,0.0004537999993772246,False,False,0.00041989999590441585,False,False,0.00041400000191060826,True,True,0.00041450000571785495,True,True,0.0004208000027574599,False,False,0.0004437000025063753,False,False,0.0004774999979417771,False,False,0.00033070000063162297
west0655,chemical_process_simulation_problem,655,2854,650,False,False,False,0.000991799999610521,False,False,0.0009028999993461184,False,False,0.0010907999967457727,True,True,0.000981699995463714,True,True,0.0009884999963105656,False,False,0.0008782000004430301,False,False,0.0033315000036964193,False,False,0.0010427000015624799
M20PI_n,eigenvalue_model_reduction_problem,1182,2881,697,False,False,False,0.0007241000057547353,False,False,0.0006734999988111667,False,False,0.000644200001261197,False,False,0.0005894999994779937,False,False,0.0006603000001632608,False,False,0.0006328999952529557,False,False,0.0007979000001796521,False,False,0.0005161000008229166
S20PI_n,eigenvalue_model_reduction_problem,1182,2881,697,False,False,False,0.0007168999945861287,False,False,0.0006554999999934807,False,False,0.0006648999988101423,False,False,0.0006024999966030009,False,False,0.0006966000000829808,False,False,0.0006242000017664395,False,False,0.0007886000021244399,False,False,0.0005073000065749511
lns_511,computational_fluid_dynamics_problem,511,2796,89,False,False,False,0.0011731000049621798,False,False,0.0009915999980876222,False,False,0.0009444000024814159,False,False,0.0010627000010572374,True,True,0.0011721999981091358,False,False,0.0010366999995312653,False,False,0.0011988999976892956,False,False,0.000982600002316758
west0989,chemical_process_simulation_problem,989,3537,984,False,False,False,0.0008690000031492673,False,False,0.0008350999996764585,False,False,0.000848300005600322,True,True,0.000833400001283735,True,True,0.0009162000060314313,False,False,0.0008192999957827851,False,False,0.004091899994818959,False,False,0.001047999998263549
lnsp_511,computational_fluid_dynamics_problem,511,2796,89,False,False,False,0.0010335999977542087,False,False,0.0009647999977460131,False,False,0.001013499997498002,False,False,0.0010866999946301803,True,True,0.0012158999961684458,False,False,0.001065000004018657,False,False,0.0012224999954923987,False,False,0.0006379000042215921
b2_ss,chemical_process_simulation_problem,1089,4228,1088,False,False,False,0.0010313000020687468,False,False,0.000952599999436643,False,False,0.0010588000004645437,True,True,0.0010633999991114251,True,True,0.0010621999972499907,False,False,0.0009960000024875626,False,False,0.007102900002792012,True,True,0.0010071000069729052
nnc666,2d_3d_problem,666,4044,256,False,False,False,0.001501099999586586,False,False,0.0013257999962661415,False,False,0.001294399997277651,True,True,0.0015475999971386045,True,True,0.0015229000055114739,False,False,0.0014978000035625882,True,True,0.0018759000013233162,True,True,0.0014584000018658116
spaceStation_3,optimal_control_problem,467,5103,208,False,False,False,0.0013796999992337078,False,False,0.0012678999992203899,False,False,0.0012884999960078858,True,True,0.0014424999972106889,True,True,0.001533899994683452,False,False,0.0013975000038044527,True,True,0.002126200000930112,False,False,0.003682199996546842
freeFlyingRobot_1,optimal_control_problem,798,5246,322,False,False,False,0.0015156000008573756,False,False,0.0012346000003162771,False,False,0.001201200000650715,False,False,0.002058099998976104,True,True,0.0023201000003609806,False,False,0.0014276000001700595,False,False,0.0010619000022416003,False,False,0.0005354000022634864
M40PI_n,eigenvalue_model_reduction_problem,2182,5341,1237,False,False,False,0.001090099998691585,False,False,0.0011337000032654032,False,False,0.0011862000028486364,False,False,0.0011771999998018146,False,False,0.0010957999984384514,False,False,0.0010417999947094359,False,False,0.0016223999991780147,False,False,0.0010889999975915998
S40PI_n,eigenvalue_model_reduction_problem,2182,5341,1237,False,False,False,0.0011684999990393408,False,False,0.0010889999975915998,False,False,0.0013193000049795955,False,False,0.0012382999993860722,False,False,0.0011742999995476566,False,False,0.0011404999968362972,False,False,0.001566799997817725,False,False,0.0011431999955675565
b_dyn,chemical_process_simulation_problem,1089,4264,1087,False,False,False,0.0011205000046174973,False,False,0.001044299999193754,False,False,0.0011444999981904402,True,True,0.0012380999978631735,True,True,0.0011787999974330887,False,False,0.0013772000020253472,False,False,0.0075162000066484325,True,True,0.0009124999996856786
laser,materials_problem,3002,9000,2002,False,False,False,0.0014744000000064261,False,False,0.0014913000050000846,False,False,0.0015631999995093793,False,False,0.0015103000041563064,False,False,0.0015910999936750159,False,False,0.0014886000062688254,False,False,0.0014681000029668212,False,False,0.0013648000021930784
west1505,chemical_process_simulation_problem,1505,5445,1500,False,False,False,0.0012682000015047379,False,False,0.0012108000009902753,False,False,0.0016084000017144717,True,True,0.0013609000016003847,True,True,0.0019065000014961697,False,False,0.0012567000012495555,False,False,0.008128800000122283,False,False,0.0021339999948395416
reorientation_1,optimal_control_problem,677,7326,281,False,False,False,0.00145160000101896,False,False,0.0015162999989115633,False,False,0.0014968000032240525,True,True,0.002569299998867791,True,True,0.003506799999740906,False,False,0.0014107000024523586,False,False,0.0019664999999804422,False,False,0.001357000001007691
goddardRocketProblem_1,optimal_control_problem,831,8498,415,False,False,False,0.002560499997343868,False,False,0.002522200004023034,False,False,0.0025356999976793304,True,True,0.00281649999669753,True,True,0.003034599998500198,False,False,0.0026872999951592647,True,True,0.003913700005796272,True,True,0.00411549999989802
west2021,chemical_process_simulation_problem,2021,7353,2016,False,False,False,0.0015379999967990443,False,False,0.0014569000049959868,False,False,0.0015583000058541074,True,True,0.0015103999976417981,True,True,0.001816000003600493,False,False,0.0014168999987305142,False,False,0.012306399999943096,False,False,0.0025615000049583614
plsk1919,2d_3d_problem,1919,9662,1919,False,False,False,0.0037502000050153583,False,False,0.003951500002585817,False,False,0.004014300000562798,True,True,0.003613499997300096,True,True,0.003972000005887821,True,True,0.0037165000030654483,True,True,0.017073199996957555,True,True,0.006155900002340786
fpga_dcop_03,circuit_simulation_problem,1220,5892,84,False,False,False,0.0013877999954274856,False,False,0.0012748000008286908,False,False,0.001353600004222244,True,True,0.0015903000021353364,True,True,0.0015740999951958656,False,False,0.0014139000049908645,True,True,0.0012933000034536235,False,False,0.0009533999982522801
fpga_dcop_02,circuit_simulation_problem,1220,5892,84,False,False,False,0.0013685000012628734,False,False,0.0015085000050021335,False,False,0.0014115000012679957,True,True,0.00156050000077812,True,True,0.0015652000001864508,False,False,0.001395299994328525,False,False,0.001316699999733828,True,True,0.0011920000033569522
fpga_dcop_09,circuit_simulation_problem,1220,5888,84,False,False,False,0.0014407999988179654,False,False,0.0014467999935732223,False,False,0.0013910000052419491,True,True,0.0015559000021312386,True,True,0.0015904000028967857,False,False,0.0021877999970456585,True,True,0.001617399997485336,False,False,0.0015673000016249716
fpga_dcop_15,circuit_simulation_problem,1220,5892,84,False,False,False,0.0018904999960795976,False,False,0.0018345999997109175,False,False,0.00201569999626372,False,False,0.002260599998407997,True,True,0.0023885999980848283,False,False,0.0015739000009489246,True,True,0.0014697000005980954,False,False,0.0010484999947948381
M80PI_n,eigenvalue_model_reduction_problem,4182,10261,2317,False,False,False,0.0021198000031290576,False,False,0.0024396999942837283,False,False,0.0026263999970979057,False,False,0.002318499995453749,False,False,0.002198599999246653,False,False,0.0021488999991561286,False,False,0.00339880000683479,False,False,0.0022648999947705306
S80PI_n,eigenvalue_model_reduction_problem,4182,10261,2317,False,False,False,0.0021440999989863485,False,False,0.0021797000008518808,False,False,0.0022730999990017153,False,False,0.0023316999941016547,False,False,0.0022823999970569275,False,False,0.002289899995957967,False,False,0.0035333999985596165,False,False,0.002082600003632251
fpga_dcop_12,circuit_simulation_problem,1220,5892,84,False,False,False,0.0013842999978805892,False,False,0.001291799999307841,False,False,0.0013414999993983656,True,True,0.0015101999961188994,True,True,0.0015582999985781498,False,False,0.001366500000585802,True,True,0.0013472999999066815,True,True,0.0009247000052710064
