matrix,method,best,mc64,none
add32,Jacobi,True,True,True
add32,SOR,True,True,True
adder_dcop_01,Gauss-Seidel,False,False,False
adder_dcop_01,Jacobi,False,False,False
adder_dcop_01,SOR,False,False,False
adder_dcop_02,Gauss-Seidel,False,False,False
adder_dcop_02,Jacobi,False,False,False
adder_dcop_02,SOR,False,False,False
adder_dcop_03,Gauss-Seidel,False,False,False
adder_dcop_03,Jacobi,False,False,False
adder_dcop_03,SOR,False,False,False
adder_dcop_04,Gauss-Seidel,False,False,False
adder_dcop_04,Jacobi,False,False,False
adder_dcop_04,SOR,False,False,False
adder_dcop_05,Gauss-Seidel,False,False,False
adder_dcop_05,Jacobi,False,False,False
adder_dcop_05,SOR,False,False,False
adder_dcop_06,Gauss-Seidel,False,False,False
adder_dcop_06,Jacobi,False,False,False
adder_dcop_06,SOR,False,False,False
adder_dcop_07,Gauss-Seidel,True,True,False
adder_dcop_07,Jacobi,False,False,False
adder_dcop_07,SOR,True,True,False
adder_dcop_08,Gauss-Seidel,False,False,False
adder_dcop_08,Jacobi,False,False,False
adder_dcop_08,SOR,False,False,False
adder_dcop_09,Gauss-Seidel,False,False,False
adder_dcop_09,Jacobi,False,False,False
adder_dcop_09,SOR,False,False,False
adder_dcop_10,Gauss-Seidel,True,True,False
adder_dcop_10,Jacobi,False,False,False
adder_dcop_10,SOR,True,True,False
adder_dcop_11,Gauss-Seidel,True,True,False
adder_dcop_11,Jacobi,False,False,False
adder_dcop_11,SOR,True,True,False
adder_dcop_12,Gauss-Seidel,True,True,False
adder_dcop_12,Jacobi,False,False,False
adder_dcop_12,SOR,True,True,False
adder_dcop_13,Gauss-Seidel,True,True,False
adder_dcop_13,Jacobi,False,False,False
adder_dcop_13,SOR,False,False,False
adder_dcop_14,Gauss-Seidel,True,True,False
adder_dcop_14,Jacobi,False,False,False
adder_dcop_14,SOR,True,True,False
adder_dcop_15,Gauss-Seidel,True,True,False
adder_dcop_15,Jacobi,False,False,False
adder_dcop_15,SOR,True,True,False
adder_dcop_16,Gauss-Seidel,False,False,False
adder_dcop_16,Jacobi,False,False,False
adder_dcop_16,SOR,False,False,False
adder_dcop_17,Gauss-Seidel,False,False,False
adder_dcop_17,Jacobi,False,False,False
adder_dcop_17,SOR,False,False,False
adder_dcop_18,Gauss-Seidel,False,False,False
adder_dcop_18,Jacobi,False,False,False
adder_dcop_18,SOR,False,False,False
adder_dcop_19,Gauss-Seidel,False,False,False
adder_dcop_19,Jacobi,False,False,False
adder_dcop_19,SOR,False,False,False
adder_dcop_20,Gauss-Seidel,False,False,False
adder_dcop_20,Jacobi,False,False,False
adder_dcop_20,SOR,False,False,False
adder_dcop_21,Gauss-Seidel,False,False,False
adder_dcop_21,Jacobi,False,False,False
adder_dcop_21,SOR,False,False,False
adder_dcop_22,Gauss-Seidel,False,False,False
adder_dcop_22,Jacobi,False,False,False
adder_dcop_22,SOR,False,False,False
adder_dcop_23,Gauss-Seidel,False,False,False
adder_dcop_23,Jacobi,False,False,False
adder_dcop_23,SOR,False,False,False
adder_dcop_24,Gauss-Seidel,False,False,False
adder_dcop_24,Jacobi,False,False,False
adder_dcop_24,SOR,False,False,False
adder_dcop_25,Gauss-Seidel,False,False,False
adder_dcop_25,Jacobi,False,False,False
adder_dcop_25,SOR,False,False,False
adder_dcop_26,Gauss-Seidel,False,False,False
adder_dcop_26,Jacobi,False,False,False
adder_dcop_26,SOR,False,False,False
adder_dcop_27,Gauss-Seidel,False,False,False
adder_dcop_27,Jacobi,False,False,False
adder_dcop_27,SOR,False,False,False
adder_dcop_28,Gauss-Seidel,False,False,False
adder_dcop_28,Jacobi,False,False,False
adder_dcop_28,SOR,False,False,False
adder_dcop_29,Gauss-Seidel,False,False,False
adder_dcop_29,Jacobi,False,False,False
adder_dcop_29,SOR,False,False,False
adder_dcop_30,Gauss-Seidel,False,False,False
adder_dcop_30,Jacobi,False,False,False
adder_dcop_30,SOR,False,False,False
adder_dcop_31,Gauss-Seidel,False,False,False
adder_dcop_31,Jacobi,False,False,False
adder_dcop_31,SOR,False,False,False
adder_dcop_32,Gauss-Seidel,True,True,False
adder_dcop_32,Jacobi,False,False,False
adder_dcop_32,SOR,True,True,False
adder_dcop_33,Gauss-Seidel,True,True,False
adder_dcop_33,Jacobi,True,True,False
adder_dcop_33,SOR,True,True,False
adder_dcop_34,Gauss-Seidel,True,True,False
adder_dcop_34,Jacobi,True,True,False
adder_dcop_34,SOR,True,True,False
adder_dcop_35,Gauss-Seidel,True,True,False
adder_dcop_35,Jacobi,True,True,False
adder_dcop_35,SOR,True,True,False
adder_dcop_36,Gauss-Seidel,True,True,False
adder_dcop_36,Jacobi,False,False,False
adder_dcop_36,SOR,True,True,False
adder_dcop_37,Gauss-Seidel,True,True,False
adder_dcop_37,Jacobi,True,True,False
adder_dcop_37,SOR,True,True,False
adder_dcop_38,Gauss-Seidel,True,True,False
adder_dcop_38,Jacobi,True,True,False
adder_dcop_38,SOR,True,True,False
adder_dcop_39,Gauss-Seidel,False,False,False
adder_dcop_39,Jacobi,False,False,False
adder_dcop_39,SOR,False,False,False
adder_dcop_40,Gauss-Seidel,True,True,False
adder_dcop_40,Jacobi,True,True,False
adder_dcop_40,SOR,True,True,False
adder_dcop_41,Gauss-Seidel,True,True,False
adder_dcop_41,Jacobi,True,True,False
adder_dcop_41,SOR,True,True,False
adder_dcop_42,Gauss-Seidel,True,True,False
adder_dcop_42,Jacobi,False,False,False
adder_dcop_42,SOR,True,True,False
adder_dcop_43,Gauss-Seidel,True,True,False
adder_dcop_43,Jacobi,False,False,False
adder_dcop_43,SOR,True,True,False
adder_dcop_44,Gauss-Seidel,False,False,False
adder_dcop_44,Jacobi,False,False,False
adder_dcop_44,SOR,False,False,False
adder_dcop_45,Gauss-Seidel,False,False,False
adder_dcop_45,Jacobi,False,False,False
adder_dcop_45,SOR,False,False,False
adder_dcop_46,Gauss-Seidel,False,False,False
adder_dcop_46,Jacobi,False,False,False
adder_dcop_46,SOR,False,False,False
adder_dcop_47,Gauss-Seidel,True,True,False
adder_dcop_47,Jacobi,False,False,False
adder_dcop_47,SOR,False,False,False
adder_dcop_48,Gauss-Seidel,True,True,False
adder_dcop_48,Jacobi,False,False,False
adder_dcop_48,SOR,True,True,False
adder_dcop_49,Gauss-Seidel,True,True,False
adder_dcop_49,Jacobi,False,False,False
adder_dcop_49,SOR,False,False,False
adder_dcop_50,Gauss-Seidel,True,True,False
adder_dcop_50,Jacobi,False,False,False
adder_dcop_50,SOR,True,True,False
adder_dcop_51,Gauss-Seidel,True,True,False
adder_dcop_51,Jacobi,False,False,False
adder_dcop_51,SOR,True,True,False
adder_dcop_52,Gauss-Seidel,True,True,False
adder_dcop_52,Jacobi,False,False,False
adder_dcop_52,SOR,True,True,False
adder_dcop_53,Gauss-Seidel,True,True,False
adder_dcop_53,Jacobi,False,False,False
adder_dcop_53,SOR,True,True,False
adder_dcop_54,Gauss-Seidel,True,True,False
adder_dcop_54,Jacobi,False,False,False
adder_dcop_54,SOR,True,True,False
adder_dcop_55,Gauss-Seidel,True,True,False
adder_dcop_55,Jacobi,False,False,False
adder_dcop_55,SOR,True,True,False
adder_dcop_56,Gauss-Seidel,True,True,False
adder_dcop_56,Jacobi,False,False,False
adder_dcop_56,SOR,True,True,False
adder_dcop_57,Gauss-Seidel,True,True,False
adder_dcop_57,Jacobi,False,False,False
adder_dcop_57,SOR,True,True,False
adder_dcop_58,Gauss-Seidel,True,True,False
adder_dcop_58,Jacobi,False,False,False
adder_dcop_58,SOR,True,True,False
adder_dcop_59,Gauss-Seidel,True,True,False
adder_dcop_59,Jacobi,False,False,False
adder_dcop_59,SOR,True,True,False
adder_dcop_60,Gauss-Seidel,True,True,False
adder_dcop_60,Jacobi,True,True,False
adder_dcop_60,SOR,True,True,False
adder_dcop_61,Gauss-Seidel,True,True,False
adder_dcop_61,Jacobi,True,True,False
adder_dcop_61,SOR,True,True,False
adder_dcop_62,Gauss-Seidel,True,True,False
adder_dcop_62,Jacobi,True,True,False
adder_dcop_62,SOR,True,True,False
adder_dcop_63,Gauss-Seidel,True,True,False
adder_dcop_63,Jacobi,True,True,False
adder_dcop_63,SOR,True,True,False
adder_dcop_64,Gauss-Seidel,True,True,False
adder_dcop_64,Jacobi,True,True,False
adder_dcop_64,SOR,True,True,False
adder_dcop_65,Gauss-Seidel,True,True,False
adder_dcop_65,Jacobi,True,True,False
adder_dcop_65,SOR,True,True,False
adder_dcop_66,Gauss-Seidel,True,True,False
adder_dcop_66,Jacobi,True,True,False
adder_dcop_66,SOR,True,True,False
adder_dcop_67,Gauss-Seidel,True,True,False
adder_dcop_67,Jacobi,True,True,False
adder_dcop_67,SOR,True,True,False
adder_dcop_68,Gauss-Seidel,True,True,False
adder_dcop_68,Jacobi,True,True,False
adder_dcop_68,SOR,True,True,False
adder_dcop_69,Gauss-Seidel,True,True,False
adder_dcop_69,Jacobi,True,True,False
adder_dcop_69,SOR,True,True,False
adder_trans_01,Gauss-Seidel,True,True,False
adder_trans_01,Jacobi,True,True,False
adder_trans_01,SOR,True,True,False
adder_trans_02,Gauss-Seidel,True,True,False
adder_trans_02,Jacobi,True,True,False
adder_trans_02,SOR,True,True,False
aft01,Gauss-Seidel,True,True,True
aft01,Jacobi,True,True,True
aft01,SOR,True,True,True
arc130,Gauss-Seidel,True,True,True
arc130,Jacobi,True,True,True
arc130,SOR,True,True,True
b1_ss,Gauss-Seidel,True,True,False
b1_ss,Jacobi,True,True,False
b1_ss,SOR,False,False,False
b2_ss,Gauss-Seidel,False,False,False
b2_ss,Jacobi,False,False,False
b2_ss,SOR,False,False,False
b_dyn,Gauss-Seidel,False,False,False
b_dyn,Jacobi,False,False,False
b_dyn,SOR,False,False,False
bayer03,Gauss-Seidel,False,False,False
bayer03,Jacobi,False,False,False
bayer03,SOR,False,False,False
bayer05,Gauss-Seidel,True,True,False
bayer05,Jacobi,True,True,False
bayer05,SOR,False,False,False
bayer06,Gauss-Seidel,False,False,False
bayer06,Jacobi,False,False,False
bayer06,SOR,False,False,False
bayer07,Gauss-Seidel,True,True,False
bayer07,Jacobi,True,True,False
bayer07,SOR,False,False,False
bayer08,Gauss-Seidel,False,False,False
bayer08,Jacobi,False,False,False
bayer08,SOR,False,False,False
bayer09,Gauss-Seidel,False,False,False
bayer09,Jacobi,False,False,False
bayer09,SOR,False,False,False
bcsstk01,Gauss-Seidel,True,True,True
bcsstk01,Jacobi,False,False,False
bcsstk01,SOR,True,True,True
bcsstk02,Gauss-Seidel,True,True,True
bcsstk02,Jacobi,False,False,False
bcsstk02,SOR,True,True,True
bcsstk03,Gauss-Seidel,False,False,False
bcsstk03,Jacobi,False,False,False
bcsstk03,SOR,False,False,False
bcsstk04,Gauss-Seidel,True,True,True
bcsstk04,Jacobi,False,False,False
bcsstk04,SOR,True,True,True
bcsstk05,Gauss-Seidel,True,True,True
bcsstk05,Jacobi,False,False,False
bcsstk05,SOR,True,True,True
bcsstk06,Gauss-Seidel,False,False,False
bcsstk06,Jacobi,False,False,False
bcsstk06,SOR,False,False,False
bcsstk07,Gauss-Seidel,False,False,False
bcsstk07,Jacobi,False,False,False
bcsstk07,SOR,False,False,False
bcsstk08,Gauss-Seidel,True,True,True
bcsstk08,Jacobi,False,False,False
bcsstk08,SOR,True,True,True
bcsstk09,Gauss-Seidel,False,False,False
bcsstk09,Jacobi,False,False,False
bcsstk09,SOR,False,False,False
bcsstk10,Gauss-Seidel,False,False,False
bcsstk10,Jacobi,False,False,False
bcsstk10,SOR,False,False,False
bcsstk11,Gauss-Seidel,False,False,False
bcsstk11,Jacobi,False,False,False
bcsstk11,SOR,False,False,False
bcsstk12,Gauss-Seidel,False,False,False
bcsstk12,Jacobi,False,False,False
bcsstk12,SOR,False,False,False
bcsstk13,Gauss-Seidel,False,False,False
bcsstk13,Jacobi,False,False,False
bcsstk13,SOR,False,False,False
bcsstk14,Gauss-Seidel,True,True,True
bcsstk14,Jacobi,False,False,False
bcsstk14,SOR,True,True,True
bcsstk15,Gauss-Seidel,False,False,False
bcsstk15,Jacobi,False,False,False
bcsstk15,SOR,False,False,False
bcsstk16,Gauss-Seidel,True,True,True
bcsstk16,Jacobi,False,False,False
bcsstk16,SOR,True,True,True
bcsstk19,Gauss-Seidel,False,False,False
bcsstk19,Jacobi,False,False,False
bcsstk19,SOR,False,False,False
bcsstk20,Gauss-Seidel,False,False,False
bcsstk20,Jacobi,False,False,False
bcsstk20,SOR,False,False,False
bcsstk21,Gauss-Seidel,False,False,False
bcsstk21,Jacobi,False,False,False
bcsstk21,SOR,False,False,False
bcsstk22,Gauss-Seidel,True,True,True
bcsstk22,Jacobi,False,False,False
bcsstk22,SOR,True,True,True
bcsstk23,Gauss-Seidel,False,False,False
bcsstk23,Jacobi,False,False,False
bcsstk23,SOR,False,False,False
bcsstk24,Gauss-Seidel,False,False,False
bcsstk24,Jacobi,False,False,False
bcsstk24,SOR,False,False,False
bcsstk26,Gauss-Seidel,False,False,False
bcsstk26,Jacobi,False,False,False
bcsstk26,SOR,False,False,False
bcsstk27,Gauss-Seidel,True,True,True
bcsstk27,Jacobi,False,False,False
bcsstk27,SOR,True,True,True
bcsstk28,Gauss-Seidel,False,False,False
bcsstk28,Jacobi,False,False,False
bcsstk28,SOR,False,False,False
bcsstk34,Gauss-Seidel,True,True,True
bcsstk34,Jacobi,False,False,False
bcsstk34,SOR,True,True,True
bcsstk38,Gauss-Seidel,False,False,False
bcsstk38,Jacobi,False,False,False
bcsstk38,SOR,False,False,False
bcsstm02,Gauss-Seidel,True,True,True
bcsstm02,Jacobi,True,True,True
bcsstm02,SOR,True,True,True
bcsstm03,Gauss-Seidel,False,False,False
bcsstm03,Jacobi,False,False,False
bcsstm03,SOR,False,False,False
bcsstm04,Gauss-Seidel,False,False,False
bcsstm04,Jacobi,False,False,False
bcsstm04,SOR,False,False,False
bcsstm05,Gauss-Seidel,True,True,True
bcsstm05,Jacobi,True,True,True
bcsstm05,SOR,True,True,True
bcsstm06,Gauss-Seidel,True,True,True
bcsstm06,Jacobi,True,True,True
bcsstm06,SOR,True,True,True
bcsstm07,Gauss-Seidel,True,True,True
bcsstm07,Jacobi,False,False,False
bcsstm07,SOR,True,True,True
bcsstm08,Gauss-Seidel,True,True,True
bcsstm08,Jacobi,True,True,True
bcsstm08,SOR,True,True,True
bcsstm09,Gauss-Seidel,True,True,True
bcsstm09,Jacobi,True,True,True
bcsstm09,SOR,True,True,True
bcsstm10,Gauss-Seidel,False,False,False
bcsstm10,Jacobi,False,False,False
bcsstm10,SOR,False,False,False
bcsstm11,Gauss-Seidel,True,True,True
bcsstm11,Jacobi,True,True,True
bcsstm11,SOR,True,True,True
bcsstm12,Gauss-Seidel,True,True,True
bcsstm12,Jacobi,False,False,False
bcsstm12,SOR,True,True,True
bcsstm13,Gauss-Seidel,False,False,False
bcsstm13,Jacobi,False,False,False
bcsstm13,SOR,False,False,False
bcsstm19,Gauss-Seidel,True,True,True
bcsstm19,Jacobi,True,True,True
bcsstm19,SOR,True,True,True
bcsstm20,Gauss-Seidel,True,True,True
bcsstm20,Jacobi,True,True,True
bcsstm20,SOR,True,True,True
bcsstm21,Gauss-Seidel,True,True,True
bcsstm21,Jacobi,True,True,True
bcsstm21,SOR,True,True,True
bcsstm22,Gauss-Seidel,True,True,True
bcsstm22,Jacobi,True,True,True
bcsstm22,SOR,True,True,True
bcsstm23,Gauss-Seidel,True,True,True
bcsstm23,Jacobi,True,True,True
bcsstm23,SOR,True,True,True
bcsstm24,Gauss-Seidel,True,True,True
bcsstm24,Jacobi,True,True,True
bcsstm24,SOR,True,True,True
bcsstm26,Gauss-Seidel,True,True,True
bcsstm26,Jacobi,True,True,True
bcsstm26,SOR,True,True,True
bcsstm27,Gauss-Seidel,False,False,False
bcsstm27,Jacobi,False,False,False
bcsstm27,SOR,False,False,False
bcsstm34,Gauss-Seidel,False,False,False
bcsstm34,Jacobi,False,False,False
bcsstm34,SOR,False,False,False
benzene,Gauss-Seidel,False,False,False
benzene,Jacobi,False,False,False
benzene,SOR,False,False,False
bfwa398,Gauss-Seidel,False,False,False
bfwa398,Jacobi,False,False,False
bfwa398,SOR,False,False,False
bfwa62,Gauss-Seidel,False,False,False
bfwa62,Jacobi,False,False,False
bfwa62,SOR,False,False,False
bfwa782,Gauss-Seidel,False,False,False
bfwa782,Jacobi,False,False,False
bfwa782,SOR,False,False,False
bfwb398,Gauss-Seidel,True,True,True
bfwb398,Jacobi,False,False,False
bfwb398,SOR,True,True,True
bfwb62,Gauss-Seidel,True,True,True
bfwb62,Jacobi,False,False,False
bfwb62,SOR,True,True,True
bfwb782,Gauss-Seidel,True,True,True
bfwb782,Jacobi,False,False,False
bfwb782,SOR,True,True,True
bips98_1142,Gauss-Seidel,True,True,False
bips98_1142,Jacobi,True,True,False
bips98_1142,SOR,True,True,False
bips98_606,Gauss-Seidel,True,True,False
bips98_606,Jacobi,True,True,False
bips98_606,SOR,False,False,False
bp_0,Gauss-Seidel,True,True,False
bp_0,Jacobi,True,True,False
bp_0,SOR,True,True,False
bp_1000,Gauss-Seidel,False,False,False
bp_1000,Jacobi,False,False,False
bp_1000,SOR,False,False,False
bp_1200,Gauss-Seidel,False,False,False
bp_1200,Jacobi,False,False,False
bp_1200,SOR,False,False,False
bp_1400,Gauss-Seidel,False,False,False
bp_1400,Jacobi,False,False,False
bp_1400,SOR,False,False,False
bp_1600,Gauss-Seidel,False,False,False
bp_1600,Jacobi,False,False,False
bp_1600,SOR,False,False,False
bp_200,Gauss-Seidel,False,False,False
bp_200,Jacobi,False,False,False
bp_200,SOR,False,False,False
bp_400,Gauss-Seidel,False,False,False
bp_400,Jacobi,False,False,False
bp_400,SOR,False,False,False
bp_600,Gauss-Seidel,False,False,False
bp_600,Jacobi,False,False,False
bp_600,SOR,False,False,False
bp_800,Gauss-Seidel,False,False,False
bp_800,Jacobi,False,False,False
bp_800,SOR,False,False,False
breasttissue_10NN,Gauss-Seidel,False,False,False
breasttissue_10NN,Jacobi,False,False,False
breasttissue_10NN,SOR,False,False,False
bwm200,Gauss-Seidel,True,True,True
bwm200,Jacobi,True,True,True
bwm200,SOR,True,True,True
bwm2000,Gauss-Seidel,False,False,False
bwm2000,Jacobi,False,False,False
bwm2000,SOR,False,False,False
c-18,Gauss-Seidel,False,False,False
c-18,Jacobi,False,False,False
c-18,SOR,False,False,False
c-19,Gauss-Seidel,False,False,False
c-19,Jacobi,False,False,False
c-19,SOR,False,False,False
c-20,Gauss-Seidel,False,False,False
c-20,Jacobi,False,False,False
c-20,SOR,False,False,False
c-21,Gauss-Seidel,False,False,False
c-21,Jacobi,False,False,False
c-21,SOR,False,False,False
c-22,Gauss-Seidel,False,False,False
c-22,Jacobi,False,False,False
c-22,SOR,False,False,False
c-23,Gauss-Seidel,False,False,False
c-23,Jacobi,False,False,False
c-23,SOR,False,False,False
c-24,Gauss-Seidel,False,False,False
c-24,Jacobi,False,False,False
c-24,SOR,False,False,False
c-25,Gauss-Seidel,False,False,False
c-25,Jacobi,False,False,False
c-25,SOR,False,False,False
c-26,Gauss-Seidel,False,False,False
c-26,Jacobi,False,False,False
c-26,SOR,False,False,False
c-27,Gauss-Seidel,False,False,False
c-27,Jacobi,False,False,False
c-27,SOR,False,False,False
c-28,Gauss-Seidel,False,False,False
c-28,Jacobi,False,False,False
c-28,SOR,False,False,False
c-29,Gauss-Seidel,False,False,False
c-29,Jacobi,False,False,False
c-29,SOR,False,False,False
c-30,Gauss-Seidel,False,False,False
c-30,Jacobi,False,False,False
c-30,SOR,False,False,False
c-31,Gauss-Seidel,False,False,False
c-31,Jacobi,False,False,False
c-31,SOR,False,False,False
c-32,Gauss-Seidel,False,False,False
c-32,Jacobi,False,False,False
c-32,SOR,False,False,False
c-33,Gauss-Seidel,False,False,False
c-33,Jacobi,False,False,False
c-33,SOR,False,False,False
c-34,Gauss-Seidel,False,False,False
c-34,Jacobi,False,False,False
c-34,SOR,False,False,False
c-35,Gauss-Seidel,False,False,False
c-35,Jacobi,False,False,False
c-35,SOR,False,False,False
c-36,Gauss-Seidel,False,False,False
c-36,Jacobi,False,False,False
c-36,SOR,False,False,False
c-37,Gauss-Seidel,False,False,False
c-37,Jacobi,False,False,False
c-37,SOR,False,False,False
c-38,Gauss-Seidel,False,False,False
c-38,Jacobi,False,False,False
c-38,SOR,False,False,False
c-39,Gauss-Seidel,False,False,False
c-39,Jacobi,False,False,False
c-39,SOR,False,False,False
c-40,Gauss-Seidel,False,False,False
c-40,Jacobi,False,False,False
