domain,name,rows,cols,nnz,kind
eigenvalue_model_reduction_problem,S10PI_n,682,682,1633,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,S10PI_n1,528,528,1317,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,S20PI_n,1182,1182,2881,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,S20PI_n1,1028,1028,2547,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,S40PI_n,2182,2182,5341,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,S40PI_n1,2028,2028,5007,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,S80PI_n,4182,4182,10261,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,S80PI_n1,4028,4028,9927,eigenvalue/model reduction problem
theoretical_quantum_chemistry_problem,Si2,769,769,9285,theoretical/quantum chemistry problem
theoretical_quantum_chemistry_problem,SiH4,5041,5041,88472,theoretical/quantum chemistry problem
theoretical_quantum_chemistry_problem,SiNa,5743,5743,102265,theoretical/quantum chemistry problem
counter_example_problem,Sieber,2290,2290,14873,counter-example problem
undirected_weighted_graph,Spectro_10NN,531,531,3711,undirected weighted graph
counter_example_problem,TS,2142,2142,45262,counter-example problem
power_network_problem,TSC_OPF_1047,8140,8140,1012521,power network problem
power_network_problem,TSC_OPF_300,9774,9774,415289,power network problem
power_network_problem,TSOPF_FS_b9_c1,2454,2454,12831,power network problem
power_network_problem,TSOPF_RS_b162_c1,5374,5374,205399,power network problem
power_network_problem,TSOPF_RS_b9_c6,7224,7224,54082,power network problem
undirected_weighted_graph,USAir97,332,332,2126,undirected weighted graph
undirected_weighted_graph,Vehicle_10NN,846,846,5447,undirected weighted graph
undirected_weighted_graph,YaleA_10NN,165,165,1134,undirected weighted graph
undirected_weighted_graph,YaleB_10NN,2414,2414,17404,undirected weighted graph
circuit_simulation_problem,add20,2395,2395,17319,circuit simulation problem
circuit_simulation_problem,add32,4960,4960,23884,circuit simulation problem
circuit_simulation_problem,adder_dcop_01,1813,1813,11156,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_02,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_03,1813,1813,11148,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_04,1813,1813,11107,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_05,1813,1813,11097,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_06,1813,1813,11224,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_07,1813,1813,11226,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_08,1813,1813,11242,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_09,1813,1813,11239,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_10,1813,1813,11232,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_11,1813,1813,11243,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_12,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_13,1813,1813,11245,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_14,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_15,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_16,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_17,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_18,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_19,1813,1813,11245,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_20,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_21,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_22,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_23,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_24,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_25,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_26,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_27,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_28,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_29,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_30,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_31,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_32,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_33,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_34,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_35,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_36,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_37,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_38,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_39,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_40,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_41,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_42,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_43,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_44,1813,1813,11245,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_45,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_46,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_47,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_48,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_49,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_50,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_51,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_52,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_53,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_54,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_55,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_56,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_57,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_58,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_59,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_60,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_61,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_62,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_63,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_64,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_65,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_66,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_67,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_68,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_dcop_69,1813,1813,11246,subsequent circuit simulation problem
circuit_simulation_problem,adder_trans_01,1814,1814,14579,circuit simulation problem sequence
circuit_simulation_problem,adder_trans_02,1814,1814,14579,subsequent circuit simulation problem
acoustics_problem,aft01,8205,8205,66886,acoustics problem
materials_problem,arc130,130,130,1282,materials problem
chemical_process_simulation_problem,b1_ss,7,7,15,chemical process simulation problem
chemical_process_simulation_problem,b2_ss,1089,1089,4228,chemical process simulation problem
chemical_process_simulation_problem,b_dyn,1089,1089,4264,chemical process simulation problem
chemical_process_simulation_problem,bayer03,6747,6747,56196,chemical process simulation problem
chemical_process_simulation_problem,bayer05,3268,3268,27836,chemical process simulation problem
chemical_process_simulation_problem,bayer06,3008,3008,27576,chemical process simulation problem
chemical_process_simulation_problem,bayer07,3268,3268,27836,chemical process simulation problem
chemical_process_simulation_problem,bayer08,3008,3008,27576,chemical process simulation problem
chemical_process_simulation_problem,bayer09,3083,3083,21216,chemical process simulation problem
structural_problem,bcsstk01,48,48,224,structural problem
structural_problem,bcsstk02,66,66,2211,structural problem
structural_problem,bcsstk03,112,112,376,structural problem
structural_problem,bcsstk04,132,132,1890,structural problem
structural_problem,bcsstk05,153,153,1288,structural problem
structural_problem,bcsstk06,420,420,4140,structural problem
structural_problem,bcsstk07,420,420,4140,duplicate structural problem
structural_problem,bcsstk08,1074,1074,7017,structural problem
structural_problem,bcsstk09,1083,1083,9760,structural problem
structural_problem,bcsstk10,1086,1086,11578,structural problem
structural_problem,bcsstk11,1473,1473,17857,structural problem
structural_problem,bcsstk12,1473,1473,17857,duplicate structural problem
computational_fluid_dynamics_problem,bcsstk13,2003,2003,42943,computational fluid dynamics problem
structural_problem,bcsstk14,1806,1806,32630,structural problem
structural_problem,bcsstk15,3948,3948,60882,structural problem
structural_problem,bcsstk16,4884,4884,147631,structural problem
structural_problem,bcsstk19,817,817,3835,structural problem
structural_problem,bcsstk20,485,485,1810,structural problem
structural_problem,bcsstk21,3600,3600,15100,structural problem
structural_problem,bcsstk22,138,138,417,structural problem
structural_problem,bcsstk23,3134,3134,24156,structural problem
structural_problem,bcsstk24,3562,3562,81736,structural problem
structural_problem,bcsstk26,1922,1922,16129,structural problem
structural_problem,bcsstk27,1224,1224,28675,structural problem
structural_problem,bcsstk28,4410,4410,111717,structural problem
structural_problem,bcsstk34,588,588,11003,structural problem
structural_problem,bcsstk38,8032,8032,181746,structural problem
structural_problem,bcsstm02,66,66,66,structural problem
structural_problem,bcsstm03,112,112,112,structural problem
structural_problem,bcsstm04,132,132,132,structural problem
structural_problem,bcsstm05,153,153,153,structural problem
structural_problem,bcsstm06,420,420,420,structural problem
structural_problem,bcsstm07,420,420,3836,structural problem
structural_problem,bcsstm08,1074,1074,1074,structural problem
structural_problem,bcsstm09,1083,1083,1083,structural problem
structural_problem,bcsstm10,1086,1086,11589,structural problem
structural_problem,bcsstm11,1473,1473,1473,structural problem
structural_problem,bcsstm12,1473,1473,10566,structural problem
computational_fluid_dynamics_problem,bcsstm13,2003,2003,11973,computational fluid dynamics problem
structural_problem,bcsstm19,817,817,817,structural problem
structural_problem,bcsstm20,485,485,485,structural problem
structural_problem,bcsstm21,3600,3600,3600,structural problem
structural_problem,bcsstm22,138,138,138,structural problem
structural_problem,bcsstm23,3134,3134,3134,structural problem
structural_problem,bcsstm24,3562,3562,3562,structural problem
structural_problem,bcsstm26,1922,1922,1922,structural problem
structural_problem,bcsstm27,1224,1224,28675,structural problem
structural_problem,bcsstm34,588,588,12429,structural problem
structural_problem,bcsstm38,8032,8032,7842,structural problem
theoretical_quantum_chemistry_problem,benzene,8219,8219,125444,theoretical/quantum chemistry problem
electromagnetics_problem,bfwa398,398,398,3678,electromagnetics problem
electromagnetics_problem,bfwa62,62,62,450,electromagnetics problem
electromagnetics_problem,bfwa782,782,782,7514,electromagnetics problem
electromagnetics_problem,bfwb398,398,398,1654,electromagnetics problem
electromagnetics_problem,bfwb62,62,62,202,electromagnetics problem
electromagnetics_problem,bfwb782,782,782,3382,electromagnetics problem
eigenvalue_model_reduction_problem,bips98_1142,9735,9735,40983,eigenvalue/model reduction problem
eigenvalue_model_reduction_problem,bips98_606,7135,7135,34738,eigenvalue/model reduction problem
optimization_problem,bp_0,822,822,3276,optimization problem sequence
optimization_problem,bp_1000,822,822,4661,subsequent optimization problem
optimization_problem,bp_1200,822,822,4726,subsequent optimization problem
optimization_problem,bp_1400,822,822,4790,subsequent optimization problem
optimization_problem,bp_1600,822,822,4841,subsequent optimization problem
optimization_problem,bp_200,822,822,3802,subsequent optimization problem
optimization_problem,bp_400,822,822,4028,subsequent optimization problem
optimization_problem,bp_600,822,822,4172,subsequent optimization problem
optimization_problem,bp_800,822,822,4534,subsequent optimization problem
undirected_weighted_graph,breasttissue_10NN,106,106,706,undirected weighted graph
chemical_process_simulation_problem,bwm200,200,200,796,chemical process simulation problem
chemical_process_simulation_problem,bwm2000,2000,2000,7996,chemical process simulation problem
optimization_problem,c-18,2169,2169,8657,optimization problem
optimization_problem,c-19,2327,2327,12072,optimization problem
optimization_problem,c-20,2921,2921,12803,optimization problem
optimization_problem,c-21,3509,3509,17833,optimization problem
optimization_problem,c-22,3792,3792,16332,optimization problem
optimization_problem,c-23,3969,3969,17524,optimization problem
optimization_problem,c-24,4119,4119,19909,optimization problem
optimization_problem,c-25,3797,3797,26716,optimization problem
optimization_problem,c-26,4307,4307,19422,optimization problem
optimization_problem,c-27,4563,4563,17969,optimization problem
optimization_problem,c-28,4598,4598,17594,optimization problem
optimization_problem,c-29,5033,5033,24382,optimization problem
optimization_problem,c-30,5321,5321,35507,optimization problem
optimization_problem,c-31,5339,5339,41955,optimization problem
optimization_problem,c-32,5975,5975,30223,optimization problem
optimization_problem,c-33,6317,6317,31220,optimization problem
optimization_problem,c-34,6611,6611,35472,optimization problem
optimization_problem,c-35,6537,6537,34714,optimization problem
optimization_problem,c-36,7479,7479,36710,optimization problem
optimization_problem,c-37,8204,8204,41440,optimization problem
optimization_problem,c-38,8127,8127,42908,optimization problem
optimization_problem,c-39,9271,9271,73041,optimization problem
optimization_problem,c-40,9941,9941,45721,optimization problem
optimization_problem,c-41,9769,9769,55757,optimization problem
directed_weighted_graph,cage3,5,5,19,directed weighted graph
directed_weighted_graph,cage4,9,9,49,directed weighted graph
directed_weighted_graph,cage5,37,37,233,directed weighted graph
directed_weighted_graph,cage6,93,93,785,directed weighted graph
directed_weighted_graph,cage7,340,340,3084,directed weighted graph
directed_weighted_graph,cage8,1015,1015,11003,directed weighted graph
directed_weighted_graph,cage9,3534,3534,41594,directed weighted graph
computational_fluid_dynamics_problem,cavity01,317,317,7327,computational fluid dynamics problem sequence
computational_fluid_dynamics_problem,cavity02,317,317,7327,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity03,317,317,7327,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity04,317,317,7327,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity05,1182,1182,32747,computational fluid dynamics problem sequence
computational_fluid_dynamics_problem,cavity06,1182,1182,32747,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity07,1182,1182,32747,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity08,1182,1182,32747,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity09,1182,1182,32747,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity10,2597,2597,76367,computational fluid dynamics problem sequence
computational_fluid_dynamics_problem,cavity11,2597,2597,76367,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity12,2597,2597,76367,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity13,2597,2597,76367,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity14,2597,2597,76367,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity15,2597,2597,76367,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity16,4562,4562,138187,computational fluid dynamics problem sequence
computational_fluid_dynamics_problem,cavity17,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity18,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity19,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity20,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity21,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity22,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity23,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity24,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity25,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cavity26,4562,4562,138187,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cdde1,961,961,4681,computational fluid dynamics problem sequence
computational_fluid_dynamics_problem,cdde2,961,961,4681,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cdde3,961,961,4681,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cdde4,961,961,4681,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cdde5,961,961,4681,subsequent computational fluid dynamics problem
computational_fluid_dynamics_problem,cdde6,961,961,4681,subsequent computational fluid dynamics problem
directed_weighted_graph,cell1,7055,7055,34855,directed weighted graph
directed_weighted_graph,cell2,7055,7055,34855,directed weighted graph
circuit_simulation_problem,circuit204,1020,1020,5883,circuit simulation problem
circuit_simulation_problem,circuit_1,2624,2624,35823,circuit simulation problem
circuit_simulation_problem,circuit_2,4510,4510,21199,circuit simulation problem
2d_3d_problem,ck104,104,104,992,2D/3D problem
2d_3d_problem,ck400,400,400,2860,2D/3D problem
2d_3d_problem,ck656,656,656,3884,2D/3D problem
undirected_weighted_graph,cnae9_10NN,1080,1080,9139,undirected weighted graph
computational_fluid_dynamics_problem,coater1,1348,1348,19457,computational fluid dynamics problem
computational_fluid_dynamics_problem,coater2,9540,9540,207308,computational fluid dynamics problem
undirected_weighted_graph,collins_15NN,1000,1000,8246,undirected weighted graph
structural_problem,comsol,1500,1500,97645,structural problem
materials_problem,cryg10000,10000,10000,49699,materials problem
materials_problem,cryg2500,2500,2500,12349,materials problem
materials_problem,crystk01,4875,4875,160383,materials problem
materials_problem,crystm01,4875,4875,55107,materials problem
2d_3d_problem,cz1268,1268,1268,12786,2D/3D problem
2d_3d_problem,cz148,148,148,1527,2D/3D problem
2d_3d_problem,cz2548,2548,2548,25674,2D/3D problem
2d_3d_problem,cz308,308,308,3182,2D/3D problem
2d_3d_problem,cz5108,5108,5108,51412,2D/3D problem
2d_3d_problem,cz628,628,628,6346,2D/3D problem
chemical_process_simulation_problem,d_dyn,87,87,238,chemical process simulation problem
chemical_process_simulation_problem,d_dyn1,87,87,238,chemical process simulation problem
chemical_process_simulation_problem,d_ss,53,53,149,chemical process simulation problem
undirected_weighted_graph,dataset12mfeatfactors_10NN,2000,2000,13721,undirected weighted graph
undirected_weighted_graph,dataset16mfeatkarhunen_10NN,2000,2000,13834,undirected weighted graph
undirected_weighted_graph,dataset18mfeatmorphological_10NN,2000,2000,11416,undirected weighted graph
undirected_weighted_graph,dataset20mfeatpixel_10NN,2000,2000,13966,undirected weighted graph
undirected_weighted_graph,dataset22mfeatzernike_10NN,2000,2000,13707,undirected weighted graph
computational_chemistry_problem,dendrimer,730,730,31877,computational chemistry problem
undirected_weighted_graph,dermatology_5NN,366,366,1220,undirected weighted graph
electromagnetics_problem,dw1024,2048,2048,10114,electromagnetics problem
electromagnetics_problem,dw2048,2048,2048,10114,electromagnetics problem
electromagnetics_problem,dw256A,512,512,2480,electromagnetics problem
electromagnetics_problem,dw256B,512,512,2500,electromagnetics problem
electromagnetics_problem,dw4096,8192,8192,41746,electromagnetics problem
electromagnetics_problem,dw8192,8192,8192,41746,electromagnetics problem
electromagnetics_problem,dwa512,512,512,2480,electromagnetics problem
electromagnetics_problem,dwb512,512,512,2500,electromagnetics problem
optimal_control_problem,dynamicSoaringProblem_1,647,647,2865,optimal control problem
optimal_control_problem,dynamicSoaringProblem_2,1591,1591,8241,optimal control problem
optimal_control_problem,dynamicSoaringProblem_3,2871,2871,16818,optimal control problem
optimal_control_problem,dynamicSoaringProblem_4,3191,3191,19155,optimal control problem
optimal_control_problem,dynamicSoaringProblem_5,3271,3271,19314,optimal control problem
optimal_control_problem,dynamicSoaringProblem_6,3431,3431,19335,optimal control problem
optimal_control_problem,dynamicSoaringProblem_7,3511,3511,19827,optimal control problem
optimal_control_problem,dynamicSoaringProblem_8,3543,3543,20064,optimal control problem
thermal_problem,epb0,1794,1794,7764,thermal problem
economic_problem,eurqsa,7245,7245,25633,economic problem
computational_fluid_dynamics_problem,ex10,2410,2410,28625,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex10hs,2548,2548,29928,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex12,3973,3973,42092,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex13,2568,2568,39098,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex14,3251,3251,35013,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex15,6867,6867,52769,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex18,5773,5773,71805,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex20,2203,2203,69981,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex21,656,656,19144,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex22,839,839,22715,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex23,1409,1409,43703,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex24,2283,2283,48737,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex25,848,848,24612,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex26,2163,2163,94033,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex27,974,974,40782,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex28,2603,2603,77781,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex29,2870,2870,23754,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex31,3909,3909,115357,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex32,1159,1159,6251,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex33,1733,1733,11961,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex36,3079,3079,53843,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex37,3565,3565,67591,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex40,7740,7740,458012,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex7,1633,1633,54543,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex8,3096,3096,106344,computational fluid dynamics problem
computational_fluid_dynamics_problem,ex9,3363,3363,51417,computational fluid dynamics problem
optimization_problem,exdata_1,6001,6001,1137751,optimization problem
chemical_process_simulation_problem,extr1,2837,2837,11407,chemical process simulation problem
chemical_process_simulation_problem,extr1b,2836,2836,11404,chemical process simulation problem sequence
materials_problem,fd12,7500,7500,28462,materials problem
model_reduction_problem,filter2D,1668,1668,6209,model reduction problem
model_reduction_problem,flowmeter0,9669,9669,38530,model reduction problem
model_reduction_problem,flowmeter5,9669,9669,67391,model reduction problem
electromagnetics_problem,fp,7548,7548,848553,electromagnetics problem
circuit_simulation_problem,fpga_dcop_01,1220,1220,5892,circuit simulation problem sequence
circuit_simulation_problem,fpga_dcop_02,1220,1220,5892,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_03,1220,1220,5892,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_04,1220,1220,5884,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_05,1220,1220,5852,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_06,1220,1220,5860,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_07,1220,1220,5855,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_08,1220,1220,5888,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_09,1220,1220,5888,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_10,1220,1220,5884,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_11,1220,1220,5892,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_12,1220,1220,5892,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_13,1220,1220,5892,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_14,1220,1220,5892,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_15,1220,1220,5892,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_16,1220,1220,5892,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_17,1220,1220,5892,subsequent circuit simulation problem
circuit_simulation_problem,fpga_dcop_18,1220,1220,5892,subsequent circuit simulation problem
